tech_id,cap,ref_prod,inv,bid,bc_price,size_1,size_2,size_3,cost_1,cost_2,cost_3
1,3300000,1,7000000.0,5.83,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
2,3300000,2,7000000.0,5.44,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
3,3300000,3,7000000.0,5.28,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
4,3300000,4,7000000.0,5.33,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
5,3300000,5,7000000.0,5.22,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
6,3300000,6,7000000.0,5.28,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
7,3300000,7,7000000.0,5.56,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
8,3300000,8,7000000.0,10.83,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
9,3300000,9,7000000.0,10.83,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
10,3300000,10,7000000.0,10.42,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
11,3300000,11,7000000.0,10.83,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
12,3300000,12,7000000.0,9.17,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
13,3300000,13,7000000.0,6.67,0.0,33000,165000,660000,800000.0,2500000.0,7000000.0
14,3300000,14,51000000.0,30.0,390.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
15,3300000,15,51000000.0,30.0,386.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
16,3300000,16,51000000.0,30.0,384.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
17,3300000,17,51000000.0,30.0,382.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
18,3300000,18,51000000.0,30.0,382.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
19,3300000,19,51000000.0,30.0,394.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
20,3300000,20,51000000.0,30.0,396.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
21,3300000,21,51000000.0,30.0,400.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
22,3300000,22,51000000.0,30.0,400.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
23,3300000,23,51000000.0,30.0,398.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
24,3300000,24,51000000.0,30.0,398.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
25,3300000,25,51000000.0,30.0,400.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
26,3300000,26,51000000.0,30.0,394.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
27,3300000,14,51000000.0,30.0,390.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
28,3300000,15,51000000.0,30.0,386.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
29,3300000,16,51000000.0,30.0,384.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
30,3300000,17,51000000.0,30.0,382.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
31,3300000,18,51000000.0,30.0,382.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
32,3300000,19,51000000.0,30.0,394.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
33,3300000,20,51000000.0,30.0,396.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
34,3300000,21,51000000.0,30.0,400.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
35,3300000,22,51000000.0,30.0,400.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
36,3300000,23,51000000.0,30.0,398.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
37,3300000,24,51000000.0,30.0,398.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
38,3300000,25,51000000.0,30.0,400.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
39,3300000,26,51000000.0,30.0,394.0,60060,198000,660000,9000000.0,21500000.0,51000000.0
