product_id,name,trans_vc_truck,trans_fc_truck
1,wet_Corn_Stover,0.15,4.0
2,wet_Soybean_Straw,0.15,4.0
3,wet_Wheat_Straw,0.15,4.0
4,wet_Oats_Straw,0.15,4.0
5,wet_Barley_Straw,0.15,4.0
6,wet_Switchgrass,0.15,4.0
7,wet_Miscanthus,0.15,4.0
8,wet_Poplar,0.15,4.0
9,wet_Willow,0.15,4.0
10,wet_Logging_Residues,0.15,4.0
11,wet_SmallDiameter_Trees,0.15,4.0
12,wet_Mill_Residues,0.15,4.0
13,wet_Other_Forest_Waste,0.15,4.0
14,dry_Corn_Stover,0.1,4.0
15,dry_Soybean_Straw,0.1,4.0
16,dry_Wheat_Straw,0.1,4.0
17,dry_Oats_Straw,0.1,4.0
18,dry_Barley_Straw,0.1,4.0
19,dry_Switchgrass,0.1,4.0
20,dry_Miscanthus,0.1,4.0
21,dry_Poplar,0.1,4.0
22,dry_Willow,0.1,4.0
23,dry_Logging_Residues,0.1,4.0
24,dry_SmallDiameter_Trees,0.1,4.0
25,dry_Mill_Residues,0.1,4.0
26,dry_Other_Forest_Waste,0.1,4.0
27,biochar,0.08,3.5
28,carbon_credit,0.0,0.0
