tech_id,tech_name,process_ghg_per_t_ref,ghg_seq_per_t_bc,ghg_n2o_per_t_bc,net_ghg_credit_per_t_bc,ghg_transport_per_tkm,baseline_ghg_per_t_ref,hc
1,T1_Dehyd_Corn_Stover,34.2,0.0,0.0,0.0,0.0902,1361.2,1.4
2,T1_Dehyd_Soybean_Straw,34.6,0.0,0.0,0.0,0.0902,1355.9,1.3
3,T1_Dehyd_Wheat_Straw,34.7,0.0,0.0,0.0,0.0902,1347.5,1.25
4,T1_Dehyd_Oats_Straw,34.7,0.0,0.0,0.0,0.0902,1307.9,1.25
5,T1_Dehyd_Barley_Straw,34.8,0.0,0.0,0.0,0.0902,1322.9,1.25
6,T1_Dehyd_Switchgrass,34.7,0.0,0.0,0.0,0.0902,1507.9,1.3
7,T1_Dehyd_Miscanthus,34.4,0.0,0.0,0.0,0.0902,1496.0,1.3
8,T1_Dehyd_Poplar,31.1,0.0,0.0,0.0,0.0902,1008.3,1.1
9,T1_Dehyd_Willow,31.1,0.0,0.0,0.0,0.0902,1008.3,1.1
10,T1_Dehyd_Logging_Residues,31.4,0.0,0.0,0.0,0.0902,1033.1,1.05
11,T1_Dehyd_SmallDiameter_Trees,31.1,0.0,0.0,0.0,0.0902,988.2,1.05
12,T1_Dehyd_Mill_Residues,32.2,0.0,0.0,0.0,0.0902,1191.7,1.0
13,T1_Dehyd_Other_Forest_Waste,33.9,0.0,0.0,0.0,0.0902,1378.7,1.15
14,T2300C_Pyrol_Corn_Stover,121.5,-1072.5,-52.0,-1124.5,0.0902,0.0,1.4
15,T2300C_Pyrol_Soybean_Straw,121.5,-1024.8,-52.0,-1076.8,0.0902,0.0,1.3
16,T2300C_Pyrol_Wheat_Straw,121.5,-1001.0,-52.0,-1053.0,0.0902,0.0,1.25
17,T2300C_Pyrol_Oats_Straw,121.5,-977.2,-52.0,-1029.2,0.0902,0.0,1.25
18,T2300C_Pyrol_Barley_Straw,121.5,-977.2,-52.0,-1029.2,0.0902,0.0,1.25
19,T2300C_Pyrol_Switchgrass,121.5,-1120.2,-52.0,-1172.2,0.0902,0.0,1.3
20,T2300C_Pyrol_Miscanthus,121.5,-1144.0,-52.0,-1196.0,0.0902,0.0,1.3
21,T2300C_Pyrol_Poplar,121.5,-1191.7,-52.0,-1243.7,0.0902,0.0,1.1
22,T2300C_Pyrol_Willow,121.5,-1191.7,-52.0,-1243.7,0.0902,0.0,1.1
23,T2300C_Pyrol_Logging_Residues,121.5,-1167.8,-52.0,-1219.8,0.0902,0.0,1.05
24,T2300C_Pyrol_SmallDiameter_Trees,121.5,-1167.8,-52.0,-1219.8,0.0902,0.0,1.05
25,T2300C_Pyrol_Mill_Residues,121.5,-1191.7,-52.0,-1243.7,0.0902,0.0,1.0
26,T2300C_Pyrol_Other_Forest_Waste,121.5,-1120.2,-52.0,-1172.2,0.0902,0.0,1.15
27,T2500C_Pyrol_Corn_Stover,113.0,-1613.3,-52.0,-1665.3,0.0902,0.0,0.49
28,T2500C_Pyrol_Soybean_Straw,113.0,-1541.6,-52.0,-1593.6,0.0902,0.0,0.5
29,T2500C_Pyrol_Wheat_Straw,113.0,-1505.8,-52.0,-1557.8,0.0902,0.0,0.51
30,T2500C_Pyrol_Oats_Straw,113.0,-1469.9,-52.0,-1521.9,0.0902,0.0,0.52
31,T2500C_Pyrol_Barley_Straw,113.0,-1469.9,-52.0,-1521.9,0.0902,0.0,0.51
32,T2500C_Pyrol_Switchgrass,113.0,-1685.0,-52.0,-1737.0,0.0902,0.0,0.47
33,T2500C_Pyrol_Miscanthus,113.0,-1720.9,-52.0,-1772.9,0.0902,0.0,0.45
34,T2500C_Pyrol_Poplar,113.0,-1792.6,-52.0,-1844.6,0.0902,0.0,0.4
35,T2500C_Pyrol_Willow,113.0,-1792.6,-52.0,-1844.6,0.0902,0.0,0.4
36,T2500C_Pyrol_Logging_Residues,113.0,-1756.7,-52.0,-1808.7,0.0902,0.0,0.42
37,T2500C_Pyrol_SmallDiameter_Trees,113.0,-1756.7,-52.0,-1808.7,0.0902,0.0,0.41
38,T2500C_Pyrol_Mill_Residues,113.0,-1792.6,-52.0,-1844.6,0.0902,0.0,0.4
39,T2500C_Pyrol_Other_Forest_Waste,113.0,-1685.0,-52.0,-1737.0,0.0902,0.0,0.45
