sup_id,node,product,feedstock,bid,capacity
1,1,1,Corn_Stover,49.5,12792.73
2,1,2,Soybean_Straw,51.6,3931.51
3,1,3,Wheat_Straw,52.5,461.77
4,1,4,Oats_Straw,52.2,68.13
5,1,10,Logging_Residues,23.0,17700.87
6,1,11,SmallDiameter_Trees,33.0,16604.73
7,1,13,Other_Forest_Waste,40.0,7959.91
8,2,2,Soybean_Straw,51.6,289.42
9,2,4,Oats_Straw,52.2,87.46
10,2,10,Logging_Residues,23.0,70901.91
11,2,11,SmallDiameter_Trees,33.0,37689.82
12,2,13,Other_Forest_Waste,40.0,2050.38
13,3,1,Corn_Stover,49.5,93440.0
14,3,2,Soybean_Straw,51.6,15301.86
15,3,3,Wheat_Straw,52.5,2992.43
16,3,4,Oats_Straw,52.2,211.64
17,3,10,Logging_Residues,23.0,16324.35
18,3,11,SmallDiameter_Trees,33.0,2132.36
19,3,12,Mill_Residues,32.5,27960.2
20,4,2,Soybean_Straw,51.6,567.91
21,4,3,Wheat_Straw,52.5,740.7
22,4,10,Logging_Residues,23.0,68184.87
23,4,11,SmallDiameter_Trees,33.0,43485.82
24,4,13,Other_Forest_Waste,40.0,2425.76
25,5,1,Corn_Stover,49.5,107032.73
26,5,2,Soybean_Straw,51.6,9735.93
27,5,3,Wheat_Straw,52.5,10059.76
28,5,4,Oats_Straw,52.2,847.78
29,5,5,Barley_Straw,52.8,29.77
30,5,10,Logging_Residues,23.0,783.65
31,5,11,SmallDiameter_Trees,33.0,105.27
32,5,12,Mill_Residues,32.5,70.71
33,6,1,Corn_Stover,49.5,61884.85
34,6,2,Soybean_Straw,51.6,14356.63
35,6,3,Wheat_Straw,52.5,457.23
36,6,4,Oats_Straw,52.2,413.96
37,6,5,Barley_Straw,52.8,46.25
38,6,10,Logging_Residues,23.0,2362.96
39,6,11,SmallDiameter_Trees,33.0,524.36
40,6,12,Mill_Residues,32.5,3149.03
41,6,13,Other_Forest_Waste,40.0,426.09
42,7,1,Corn_Stover,49.5,20393.94
43,7,2,Soybean_Straw,51.6,2796.51
44,7,3,Wheat_Straw,52.5,107.15
45,7,4,Oats_Straw,52.2,276.58
46,7,10,Logging_Residues,23.0,22319.83
47,7,11,SmallDiameter_Trees,33.0,9510.18
48,7,13,Other_Forest_Waste,40.0,82.69
49,8,2,Soybean_Straw,51.6,10813.14
50,8,3,Wheat_Straw,52.5,9122.6
51,8,4,Oats_Straw,52.2,290.37
52,8,10,Logging_Residues,23.0,216.87
53,8,11,SmallDiameter_Trees,33.0,20.55
54,8,13,Other_Forest_Waste,40.0,326.97
55,9,1,Corn_Stover,49.5,206321.21
56,9,2,Soybean_Straw,51.6,19945.81
57,9,3,Wheat_Straw,52.5,1550.68
58,9,4,Oats_Straw,52.2,380.83
59,9,5,Barley_Straw,52.8,229.55
60,9,10,Logging_Residues,23.0,18386.09
61,9,11,SmallDiameter_Trees,33.0,2063.64
62,9,13,Other_Forest_Waste,40.0,18659.4
63,10,1,Corn_Stover,49.5,166248.48
64,10,2,Soybean_Straw,51.6,22523.72
65,10,3,Wheat_Straw,52.5,2780.38
66,10,4,Oats_Straw,52.2,1360.14
67,10,5,Barley_Straw,52.8,69.09
68,10,10,Logging_Residues,23.0,58333.04
69,10,11,SmallDiameter_Trees,33.0,15439.64
70,10,13,Other_Forest_Waste,40.0,2561.72
71,11,2,Soybean_Straw,51.6,24521.16
72,11,3,Wheat_Straw,52.5,6580.94
73,11,4,Oats_Straw,52.2,199.05
74,11,10,Logging_Residues,23.0,2448.35
75,11,11,SmallDiameter_Trees,33.0,813.45
76,11,13,Other_Forest_Waste,40.0,366.62
77,12,1,Corn_Stover,49.5,18567.27
78,12,2,Soybean_Straw,51.6,7221.4
79,12,3,Wheat_Straw,52.5,1016.94
80,12,4,Oats_Straw,52.2,209.41
81,12,5,Barley_Straw,52.8,7.05
82,12,10,Logging_Residues,23.0,2030.43
83,12,11,SmallDiameter_Trees,33.0,61.82
84,12,12,Mill_Residues,32.5,118.38
85,12,13,Other_Forest_Waste,40.0,2418.05
86,13,1,Corn_Stover,49.5,436312.73
87,13,2,Soybean_Straw,51.6,42226.05
88,13,3,Wheat_Straw,52.5,10463.52
89,13,4,Oats_Straw,52.2,144.11
90,13,5,Barley_Straw,52.8,36.02
91,13,10,Logging_Residues,23.0,3247.65
92,13,11,SmallDiameter_Trees,33.0,1247.64
93,13,12,Mill_Residues,32.5,19.62
94,13,13,Other_Forest_Waste,40.0,14411.97
95,14,1,Corn_Stover,49.5,396488.48
96,14,2,Soybean_Straw,51.6,41102.21
97,14,3,Wheat_Straw,52.5,15931.59
98,14,4,Oats_Straw,52.2,510.56
99,14,5,Barley_Straw,52.8,79.32
100,14,10,Logging_Residues,23.0,794.61
101,14,11,SmallDiameter_Trees,33.0,288.18
102,15,1,Corn_Stover,49.5,13076.36
103,15,2,Soybean_Straw,51.6,5639.77
104,15,3,Wheat_Straw,52.5,8154.71
105,15,4,Oats_Straw,52.2,1074.28
106,15,5,Barley_Straw,52.8,16.25
107,15,10,Logging_Residues,23.0,1722.26
108,15,11,SmallDiameter_Trees,33.0,241.27
109,15,13,Other_Forest_Waste,40.0,17034.0
110,16,10,Logging_Residues,23.0,28164.7
111,16,11,SmallDiameter_Trees,33.0,23006.36
112,16,13,Other_Forest_Waste,40.0,424.72
113,17,1,Corn_Stover,49.5,207946.67
114,17,2,Soybean_Straw,51.6,27615.35
115,17,3,Wheat_Straw,52.5,230.74
116,17,4,Oats_Straw,52.2,408.28
117,17,5,Barley_Straw,52.8,40.57
118,17,10,Logging_Residues,23.0,2392.52
119,17,11,SmallDiameter_Trees,33.0,2087.82
120,17,13,Other_Forest_Waste,40.0,5842.0
121,18,1,Corn_Stover,49.5,62016.97
122,18,2,Soybean_Straw,51.6,8756.51
123,18,3,Wheat_Straw,52.5,203.04
124,18,4,Oats_Straw,52.2,227.1
125,18,10,Logging_Residues,23.0,2256.0
126,18,11,SmallDiameter_Trees,33.0,2914.0
127,18,13,Other_Forest_Waste,40.0,5917.17
128,19,4,Oats_Straw,52.2,131.53
129,19,10,Logging_Residues,23.0,36611.48
130,19,11,SmallDiameter_Trees,33.0,3818.55
131,20,1,Corn_Stover,49.5,249395.15
132,20,2,Soybean_Straw,51.6,26243.95
133,20,3,Wheat_Straw,52.5,16739.88
134,20,4,Oats_Straw,52.2,247.93
135,20,10,Logging_Residues,23.0,4371.13
136,20,11,SmallDiameter_Trees,33.0,772.55
137,21,2,Soybean_Straw,51.6,95.93
138,21,4,Oats_Straw,52.2,188.47
139,21,10,Logging_Residues,23.0,106779.65
140,21,11,SmallDiameter_Trees,33.0,11274.55
141,21,12,Mill_Residues,32.5,9.2
142,21,13,Other_Forest_Waste,40.0,2159.31
143,22,1,Corn_Stover,49.5,153736.97
144,22,2,Soybean_Straw,51.6,41947.21
145,22,3,Wheat_Straw,52.5,3291.93
146,22,4,Oats_Straw,52.2,1146.68
147,22,5,Barley_Straw,52.8,139.2
148,22,10,Logging_Residues,23.0,2416.7
149,22,11,SmallDiameter_Trees,33.0,165.27
150,22,13,Other_Forest_Waste,40.0,591.72
151,23,1,Corn_Stover,49.5,139313.94
152,23,2,Soybean_Straw,51.6,29716.63
153,23,3,Wheat_Straw,52.5,5476.48
154,23,4,Oats_Straw,52.2,331.64
155,23,10,Logging_Residues,23.0,1276.35
156,23,11,SmallDiameter_Trees,33.0,503.45
157,23,13,Other_Forest_Waste,40.0,27.17
158,24,1,Corn_Stover,49.5,130825.45
159,24,2,Soybean_Straw,51.6,8108.49
160,24,3,Wheat_Straw,52.5,3628.16
161,24,4,Oats_Straw,52.2,273.05
162,24,5,Barley_Straw,52.8,62.95
163,24,10,Logging_Residues,23.0,1874.78
164,24,11,SmallDiameter_Trees,33.0,556.73
165,25,1,Corn_Stover,49.5,140008.48
166,25,2,Soybean_Straw,51.6,21911.16
167,25,3,Wheat_Straw,52.5,1923.03
168,25,4,Oats_Straw,52.2,485.91
169,25,10,Logging_Residues,23.0,1667.3
170,25,11,SmallDiameter_Trees,33.0,188.18
171,26,10,Logging_Residues,23.0,40039.3
172,26,11,SmallDiameter_Trees,33.0,4622.55
173,26,12,Mill_Residues,32.5,52.05
174,26,13,Other_Forest_Waste,40.0,4471.86
175,27,1,Corn_Stover,49.5,106707.88
176,27,2,Soybean_Straw,51.6,11123.84
177,27,4,Oats_Straw,52.2,395.66
178,27,10,Logging_Residues,23.0,5536.17
179,27,11,SmallDiameter_Trees,33.0,10393.64
180,27,13,Other_Forest_Waste,40.0,1472.76
181,28,1,Corn_Stover,49.5,213609.7
182,28,2,Soybean_Straw,51.6,20026.98
183,28,3,Wheat_Straw,52.5,4481.21
184,28,4,Oats_Straw,52.2,34.18
185,28,10,Logging_Residues,23.0,868.52
186,28,11,SmallDiameter_Trees,33.0,313.64
187,29,1,Corn_Stover,49.5,44609.7
188,29,2,Soybean_Straw,51.6,10782.67
189,29,3,Wheat_Straw,52.5,1263.5
190,29,4,Oats_Straw,52.2,72.83
191,29,10,Logging_Residues,23.0,16502.78
192,29,11,SmallDiameter_Trees,33.0,15284.55
193,29,12,Mill_Residues,32.5,2684.97
194,29,13,Other_Forest_Waste,40.0,542.16
195,30,1,Corn_Stover,49.5,86369.7
196,30,2,Soybean_Straw,51.6,7832.09
197,30,3,Wheat_Straw,52.5,3330.88
198,30,4,Oats_Straw,52.2,14.2
199,30,10,Logging_Residues,23.0,656.52
200,31,1,Corn_Stover,49.5,111904.24
201,31,2,Soybean_Straw,51.6,6638.49
202,31,3,Wheat_Straw,52.5,10675.02
203,31,4,Oats_Straw,52.2,1306.61
204,31,10,Logging_Residues,23.0,399.3
205,31,11,SmallDiameter_Trees,33.0,61.45
206,32,1,Corn_Stover,49.5,33693.33
207,32,2,Soybean_Straw,51.6,8494.88
208,32,3,Wheat_Straw,52.5,70.3
209,32,4,Oats_Straw,52.2,49.93
210,32,10,Logging_Residues,23.0,1764.17
211,32,11,SmallDiameter_Trees,33.0,841.82
212,32,13,Other_Forest_Waste,40.0,592.24
213,33,1,Corn_Stover,49.5,162882.42
214,33,2,Soybean_Straw,51.6,33425.47
215,33,3,Wheat_Straw,52.5,2019.81
216,33,4,Oats_Straw,52.2,367.65
217,33,5,Barley_Straw,52.8,191.36
218,33,10,Logging_Residues,23.0,426.26
219,33,11,SmallDiameter_Trees,33.0,18.73
220,33,13,Other_Forest_Waste,40.0,113.29
221,34,1,Corn_Stover,49.5,5915.15
222,34,2,Soybean_Straw,51.6,1548.14
223,34,3,Wheat_Straw,52.5,2064.76
224,34,4,Oats_Straw,52.2,3628.85
225,34,5,Barley_Straw,52.8,180.45
226,34,10,Logging_Residues,23.0,39583.65
227,34,11,SmallDiameter_Trees,33.0,3939.09
228,34,12,Mill_Residues,32.5,2318.95
229,35,1,Corn_Stover,49.5,12086.06
230,35,2,Soybean_Straw,51.6,2327.67
231,35,3,Wheat_Straw,52.5,206.86
232,35,4,Oats_Straw,52.2,252.42
233,35,5,Barley_Straw,52.8,56.82
234,35,10,Logging_Residues,23.0,52601.91
235,35,11,SmallDiameter_Trees,33.0,10817.09
236,35,13,Other_Forest_Waste,40.0,52.51
237,36,2,Soybean_Straw,51.6,12906.16
238,36,3,Wheat_Straw,52.5,15436.89
239,36,4,Oats_Straw,52.2,604.36
240,36,5,Barley_Straw,52.8,10.57
241,36,10,Logging_Residues,23.0,813.22
242,36,11,SmallDiameter_Trees,33.0,118.36
243,37,1,Corn_Stover,49.5,106407.27
244,37,2,Soybean_Straw,51.6,25428.26
245,37,3,Wheat_Straw,52.5,4154.99
246,37,4,Oats_Straw,52.2,3031.4
247,37,5,Barley_Straw,52.8,189.89
248,37,10,Logging_Residues,23.0,66573.57
249,37,11,SmallDiameter_Trees,33.0,11094.36
250,37,12,Mill_Residues,32.5,1038.46
251,37,13,Other_Forest_Waste,40.0,339.5
252,38,2,Soybean_Straw,51.6,4067.33
253,38,3,Wheat_Straw,52.5,1523.4
254,38,4,Oats_Straw,52.2,149.08
255,38,10,Logging_Residues,23.0,41638.43
256,38,11,SmallDiameter_Trees,33.0,11531.09
257,38,12,Mill_Residues,32.5,202.66
258,38,13,Other_Forest_Waste,40.0,3962.32
259,39,1,Corn_Stover,49.5,36473.94
260,39,2,Soybean_Straw,51.6,6907.09
261,39,3,Wheat_Straw,52.5,800.44
262,39,4,Oats_Straw,52.2,12.83
263,39,10,Logging_Residues,23.0,6908.7
264,39,11,SmallDiameter_Trees,33.0,4486.0
265,39,12,Mill_Residues,32.5,32.77
266,40,10,Logging_Residues,23.0,13414.61
267,40,11,SmallDiameter_Trees,33.0,5022.73
268,41,2,Soybean_Straw,51.6,607.91
269,41,3,Wheat_Straw,52.5,170.48
270,41,10,Logging_Residues,23.0,259.13
271,42,1,Corn_Stover,49.5,69586.67
272,42,2,Soybean_Straw,51.6,9173.72
273,42,3,Wheat_Straw,52.5,123.09
274,42,4,Oats_Straw,52.2,465.11
275,42,10,Logging_Residues,23.0,32132.35
276,42,11,SmallDiameter_Trees,33.0,20382.36
277,42,12,Mill_Residues,32.5,459.09
278,42,13,Other_Forest_Waste,40.0,8225.41
279,43,1,Corn_Stover,49.5,27924.85
280,43,2,Soybean_Straw,51.6,10969.19
281,43,3,Wheat_Straw,52.5,3694.32
282,43,4,Oats_Straw,52.2,861.58
283,43,10,Logging_Residues,23.0,48526.61
284,43,11,SmallDiameter_Trees,33.0,13336.91
285,44,2,Soybean_Straw,51.6,197.79
286,44,10,Logging_Residues,23.0,36058.43
287,44,11,SmallDiameter_Trees,33.0,22322.36
288,44,12,Mill_Residues,32.5,56.09
289,44,13,Other_Forest_Waste,40.0,9213.72
290,45,1,Corn_Stover,49.5,113016.97
291,45,2,Soybean_Straw,51.6,22346.98
292,45,3,Wheat_Straw,52.5,6264.87
293,45,4,Oats_Straw,52.2,514.86
294,45,10,Logging_Residues,23.0,805.22
295,45,11,SmallDiameter_Trees,33.0,128.73
296,45,13,Other_Forest_Waste,40.0,1057.01
297,46,1,Corn_Stover,49.5,43787.88
298,46,2,Soybean_Straw,51.6,4449.19
299,46,3,Wheat_Straw,52.5,2700.17
300,46,4,Oats_Straw,52.2,98.22
301,46,10,Logging_Residues,23.0,385.57
302,47,1,Corn_Stover,49.5,53266.67
303,47,2,Soybean_Straw,51.6,6848.49
304,47,10,Logging_Residues,23.0,618.96
305,47,11,SmallDiameter_Trees,33.0,160.55
306,47,13,Other_Forest_Waste,40.0,2638.58
307,48,1,Corn_Stover,49.5,147881.21
308,48,2,Soybean_Straw,51.6,16688.37
309,48,3,Wheat_Straw,52.5,504.2
310,48,4,Oats_Straw,52.2,579.58
311,48,10,Logging_Residues,23.0,1693.57
312,48,11,SmallDiameter_Trees,33.0,614.0
313,49,1,Corn_Stover,49.5,104631.52
314,49,2,Soybean_Straw,51.6,12253.02
315,49,3,Wheat_Straw,52.5,329.15
316,49,4,Oats_Straw,52.2,310.26
317,49,5,Barley_Straw,52.8,40.11
318,49,10,Logging_Residues,23.0,23197.22
319,49,11,SmallDiameter_Trees,33.0,2852.73
320,49,13,Other_Forest_Waste,40.0,7308.28
321,50,1,Corn_Stover,49.5,69560.0
322,50,2,Soybean_Straw,51.6,8108.49
323,50,3,Wheat_Straw,52.5,721.41
324,50,4,Oats_Straw,52.2,644.82
325,50,5,Barley_Straw,52.8,27.5
326,50,10,Logging_Residues,23.0,12607.83
327,50,11,SmallDiameter_Trees,33.0,7071.45
328,50,13,Other_Forest_Waste,40.0,1671.04
329,51,1,Corn_Stover,49.5,1867.88
330,51,2,Soybean_Straw,51.6,241.4
331,51,4,Oats_Straw,52.2,74.03
332,51,10,Logging_Residues,23.0,77026.43
333,51,11,SmallDiameter_Trees,33.0,15028.0
334,52,1,Corn_Stover,49.5,84728.48
335,52,2,Soybean_Straw,51.6,13947.79
336,52,3,Wheat_Straw,52.5,6566.37
337,52,4,Oats_Straw,52.2,173.53
338,52,10,Logging_Residues,23.0,736.7
339,52,13,Other_Forest_Waste,40.0,917.79
340,53,1,Corn_Stover,49.5,31089.7
341,53,2,Soybean_Straw,51.6,7284.3
342,53,3,Wheat_Straw,52.5,1263.87
343,53,4,Oats_Straw,52.2,171.12
344,53,10,Logging_Residues,23.0,1898.26
345,53,11,SmallDiameter_Trees,33.0,161.27
346,53,13,Other_Forest_Waste,40.0,1172.09
347,54,1,Corn_Stover,49.5,223213.33
348,54,2,Soybean_Straw,51.6,41509.3
349,54,3,Wheat_Straw,52.5,4221.02
350,54,4,Oats_Straw,52.2,10.95
351,54,10,Logging_Residues,23.0,1262.78
352,54,11,SmallDiameter_Trees,33.0,485.09
353,55,1,Corn_Stover,49.5,10814.55
354,55,2,Soybean_Straw,51.6,4430.35
355,55,3,Wheat_Straw,52.5,279.7
356,55,4,Oats_Straw,52.2,44.65
357,55,10,Logging_Residues,23.0,26740.35
358,55,11,SmallDiameter_Trees,33.0,687.82
359,56,1,Corn_Stover,49.5,215151.52
360,56,2,Soybean_Straw,51.6,22013.14
361,56,3,Wheat_Straw,52.5,444.67
362,56,4,Oats_Straw,52.2,378.66
363,56,10,Logging_Residues,23.0,3189.04
364,56,11,SmallDiameter_Trees,33.0,3076.18
365,56,13,Other_Forest_Waste,40.0,5535.92
366,57,1,Corn_Stover,49.5,87848.48
367,57,2,Soybean_Straw,51.6,18626.16
368,57,3,Wheat_Straw,52.5,4492.92
369,57,4,Oats_Straw,52.2,141.49
370,57,10,Logging_Residues,23.0,2971.3
371,57,11,SmallDiameter_Trees,33.0,540.36
372,57,13,Other_Forest_Waste,40.0,895.41
373,58,1,Corn_Stover,49.5,11876.36
374,58,2,Soybean_Straw,51.6,575.35
375,58,10,Logging_Residues,23.0,45871.13
376,58,11,SmallDiameter_Trees,33.0,10593.64
377,58,13,Other_Forest_Waste,40.0,1221.4
378,59,1,Corn_Stover,49.5,91564.85
379,59,2,Soybean_Straw,51.6,13292.21
380,59,3,Wheat_Straw,52.5,3694.84
381,59,4,Oats_Straw,52.2,1386.73
382,59,5,Barley_Straw,52.8,155.8
383,59,10,Logging_Residues,23.0,15386.09
384,59,11,SmallDiameter_Trees,33.0,4775.09
385,60,1,Corn_Stover,49.5,144336.97
386,60,2,Soybean_Straw,51.6,16106.28
387,60,3,Wheat_Straw,52.5,14489.49
388,60,4,Oats_Straw,52.2,1074.23
389,60,5,Barley_Straw,52.8,31.36
390,60,10,Logging_Residues,23.0,2376.7
391,60,11,SmallDiameter_Trees,33.0,409.27
392,61,1,Corn_Stover,49.5,20687.27
393,61,2,Soybean_Straw,51.6,11302.21
394,61,3,Wheat_Straw,52.5,507.24
395,61,4,Oats_Straw,52.2,1045.95
396,61,5,Barley_Straw,52.8,18.75
