tp_id,node,indicator,unused,tech_type
1,1,1,0,1
2,1,1,0,2
3,1,1,0,3
4,1,1,0,4
5,1,1,0,5
6,1,1,0,6
7,1,1,0,7
8,1,1,0,8
9,1,1,0,9
10,1,1,0,10
11,1,1,0,11
12,1,1,0,12
13,1,1,0,13
14,1,1,0,14
15,1,1,0,15
16,1,1,0,16
17,1,1,0,17
18,1,1,0,18
19,1,1,0,19
20,1,1,0,20
21,1,1,0,21
22,1,1,0,22
23,1,1,0,23
24,1,1,0,24
25,1,1,0,25
26,1,1,0,26
27,1,1,0,27
28,1,1,0,28
29,1,1,0,29
30,1,1,0,30
31,1,1,0,31
32,1,1,0,32
33,1,1,0,33
34,1,1,0,34
35,1,1,0,35
36,1,1,0,36
37,1,1,0,37
38,1,1,0,38
39,1,1,0,39
40,2,1,0,1
41,2,1,0,2
42,2,1,0,3
43,2,1,0,4
44,2,1,0,5
45,2,1,0,6
46,2,1,0,7
47,2,1,0,8
48,2,1,0,9
49,2,1,0,10
50,2,1,0,11
51,2,1,0,12
52,2,1,0,13
53,2,1,0,14
54,2,1,0,15
55,2,1,0,16
56,2,1,0,17
57,2,1,0,18
58,2,1,0,19
59,2,1,0,20
60,2,1,0,21
61,2,1,0,22
62,2,1,0,23
63,2,1,0,24
64,2,1,0,25
65,2,1,0,26
66,2,1,0,27
67,2,1,0,28
68,2,1,0,29
69,2,1,0,30
70,2,1,0,31
71,2,1,0,32
72,2,1,0,33
73,2,1,0,34
74,2,1,0,35
75,2,1,0,36
76,2,1,0,37
77,2,1,0,38
78,2,1,0,39
79,3,1,0,1
80,3,1,0,2
81,3,1,0,3
82,3,1,0,4
83,3,1,0,5
84,3,1,0,6
85,3,1,0,7
86,3,1,0,8
87,3,1,0,9
88,3,1,0,10
89,3,1,0,11
90,3,1,0,12
91,3,1,0,13
92,3,1,0,14
93,3,1,0,15
94,3,1,0,16
95,3,1,0,17
96,3,1,0,18
97,3,1,0,19
98,3,1,0,20
99,3,1,0,21
100,3,1,0,22
101,3,1,0,23
102,3,1,0,24
103,3,1,0,25
104,3,1,0,26
105,3,1,0,27
106,3,1,0,28
107,3,1,0,29
108,3,1,0,30
109,3,1,0,31
110,3,1,0,32
111,3,1,0,33
112,3,1,0,34
113,3,1,0,35
114,3,1,0,36
115,3,1,0,37
116,3,1,0,38
117,3,1,0,39
118,4,1,0,1
119,4,1,0,2
120,4,1,0,3
121,4,1,0,4
122,4,1,0,5
123,4,1,0,6
124,4,1,0,7
125,4,1,0,8
126,4,1,0,9
127,4,1,0,10
128,4,1,0,11
129,4,1,0,12
130,4,1,0,13
131,4,1,0,14
132,4,1,0,15
133,4,1,0,16
134,4,1,0,17
135,4,1,0,18
136,4,1,0,19
137,4,1,0,20
138,4,1,0,21
139,4,1,0,22
140,4,1,0,23
141,4,1,0,24
142,4,1,0,25
143,4,1,0,26
144,4,1,0,27
145,4,1,0,28
146,4,1,0,29
147,4,1,0,30
