sup_id,node,product,feedstock,bid,capacity
1,1,1,Corn_Stover,49.5,15482.42
2,1,2,Soybean_Straw,51.6,3931.51
3,1,3,Wheat_Straw,52.5,461.77
4,1,4,Oats_Straw,52.2,68.13
5,1,7,Miscanthus,51.0,140258.82
6,1,8,Poplar,33.0,250.91
7,1,9,Willow,33.0,115900.0
8,1,10,Logging_Residues,23.0,11492.7
9,1,11,SmallDiameter_Trees,33.0,254.0
10,1,13,Other_Forest_Waste,40.0,7959.91
11,2,2,Soybean_Straw,51.6,289.42
12,2,4,Oats_Straw,52.2,87.46
13,2,7,Miscanthus,51.0,36688.24
14,2,8,Poplar,33.0,974.55
15,2,9,Willow,33.0,2105.45
16,2,10,Logging_Residues,23.0,62976.0
17,2,11,SmallDiameter_Trees,33.0,107786.36
18,2,13,Other_Forest_Waste,40.0,2050.38
19,3,1,Corn_Stover,49.5,159819.39
20,3,2,Soybean_Straw,51.6,15301.86
21,3,3,Wheat_Straw,52.5,2992.43
22,3,4,Oats_Straw,52.2,211.64
23,3,7,Miscanthus,51.0,104887.06
24,3,8,Poplar,33.0,6647.27
25,3,9,Willow,33.0,2645.45
26,3,10,Logging_Residues,23.0,12186.78
27,3,11,SmallDiameter_Trees,33.0,10023.45
28,3,12,Mill_Residues,32.5,27960.2
29,4,2,Soybean_Straw,51.6,567.91
30,4,3,Wheat_Straw,52.5,740.7
31,4,7,Miscanthus,51.0,49116.47
32,4,8,Poplar,33.0,509.09
33,4,9,Willow,33.0,2458.18
34,4,10,Logging_Residues,23.0,118195.3
35,4,11,SmallDiameter_Trees,33.0,133784.18
36,4,13,Other_Forest_Waste,40.0,2425.76
37,5,1,Corn_Stover,49.5,89127.27
38,5,2,Soybean_Straw,51.6,9735.93
39,5,3,Wheat_Straw,52.5,10059.76
40,5,4,Oats_Straw,52.2,847.78
41,5,5,Barley_Straw,52.8,29.77
42,5,7,Miscanthus,51.0,26021.18
43,5,8,Poplar,33.0,1487.27
44,5,9,Willow,33.0,7560.0
45,5,10,Logging_Residues,23.0,7999.65
46,5,11,SmallDiameter_Trees,33.0,7823.82
47,5,12,Mill_Residues,32.5,70.71
48,6,1,Corn_Stover,49.5,19767.27
49,6,2,Soybean_Straw,51.6,14356.63
50,6,3,Wheat_Straw,52.5,457.23
51,6,4,Oats_Straw,52.2,413.96
52,6,5,Barley_Straw,52.8,46.25
53,6,7,Miscanthus,51.0,6550.59
54,6,8,Poplar,33.0,961.82
55,6,9,Willow,33.0,2183.64
56,6,10,Logging_Residues,23.0,5753.74
57,6,11,SmallDiameter_Trees,33.0,7276.55
58,6,12,Mill_Residues,32.5,3149.03
59,6,13,Other_Forest_Waste,40.0,426.09
60,7,1,Corn_Stover,49.5,26824.24
61,7,2,Soybean_Straw,51.6,2796.51
62,7,3,Wheat_Straw,52.5,107.15
63,7,4,Oats_Straw,52.2,276.58
64,7,7,Miscanthus,51.0,90578.82
65,7,8,Poplar,33.0,2307.27
66,7,9,Willow,33.0,770.91
67,7,10,Logging_Residues,23.0,20826.96
