dem_id,node,product,segment,bid,capacity
1,1,27,H,800.0,6674.42
2,2,27,H,800.0,10803.55
3,3,27,H,800.0,8923.01
4,4,27,H,800.0,15279.01
5,5,27,H,800.0,5480.34
6,6,27,H,800.0,6986.64
7,7,27,H,800.0,8493.97
8,8,27,H,800.0,3289.65
9,9,27,H,800.0,10425.16
10,10,27,H,800.0,12506.27
11,11,27,H,800.0,7915.02
12,12,27,H,800.0,5901.11
13,13,27,H,800.0,12369.8
14,14,27,H,800.0,9053.27
15,15,27,H,800.0,4982.04
16,16,27,H,800.0,13484.27
17,17,27,H,800.0,8789.64
18,18,27,H,800.0,6594.82
19,19,27,H,800.0,5045.1
20,20,27,H,800.0,7439.46
21,21,27,H,800.0,10486.16
22,22,27,H,800.0,11857.02
23,23,27,H,800.0,6037.58
24,24,27,H,800.0,3613.24
25,25,27,H,800.0,7885.04
26,26,27,H,800.0,7838.52
27,27,27,H,800.0,10213.23
28,28,27,H,800.0,5753.28
29,29,27,H,800.0,7930.53
30,30,27,H,800.0,2809.96
31,31,27,H,800.0,3540.88
32,32,27,H,800.0,4670.85
33,33,27,H,800.0,6550.36
34,34,27,H,800.0,9001.58
35,35,27,H,800.0,9084.28
36,36,27,H,800.0,6092.37
37,37,27,H,800.0,15974.77
38,38,27,H,800.0,14468.48
39,39,27,H,800.0,4711.17
40,40,27,H,800.0,3696.98
41,41,27,H,800.0,2496.7
42,42,27,H,800.0,9313.79
43,43,27,H,800.0,10312.48
44,44,27,H,800.0,11515.86
45,45,27,H,800.0,6591.71
46,46,27,H,800.0,2408.83
47,47,27,H,800.0,2398.49
48,48,27,H,800.0,5934.2
49,49,27,H,800.0,9452.33
50,50,27,H,800.0,8279.96
51,51,27,H,800.0,12965.29
52,52,27,H,800.0,3438.53
53,53,27,H,800.0,6059.29
54,54,27,H,800.0,7424.98
55,55,27,H,800.0,9445.09
56,56,27,H,800.0,7466.34
57,57,27,H,800.0,8596.31
58,58,27,H,800.0,13001.47
59,59,27,H,800.0,9234.19
60,60,27,H,800.0,5288.05
61,61,27,H,800.0,10080.9
62,62,27,H,800.0,7577.99
63,63,27,H,800.0,8183.82
64,64,27,H,800.0,8867.18
65,65,27,H,800.0,5741.9
66,66,27,H,800.0,8240.68
67,67,27,H,800.0,4451.68
68,68,27,H,800.0,5682.98
69,69,27,H,800.0,7729.96
70,70,27,H,800.0,6473.86
71,71,27,H,800.0,4494.07
72,72,27,H,800.0,8198.29
73,1,27,M,500.0,12514.54
74,2,27,M,500.0,20256.65
75,3,27,M,500.0,16730.64
76,4,27,M,500.0,28648.14
77,5,27,M,500.0,10275.65
78,6,27,M,500.0,13099.95
79,7,27,M,500.0,15926.18
80,8,27,M,500.0,6168.1
81,9,27,M,500.0,19547.18
82,10,27,M,500.0,23449.25
83,11,27,M,500.0,14840.66
84,12,27,M,500.0,11064.59
85,13,27,M,500.0,23193.38
86,14,27,M,500.0,16974.88
87,15,27,M,500.0,9341.32
88,16,27,M,500.0,25283.01
89,17,27,M,500.0,16480.58
90,18,27,M,500.0,12365.28
91,19,27,M,500.0,9459.56
92,20,27,M,500.0,13948.98
93,21,27,M,500.0,19661.55
94,22,27,M,500.0,22231.91
95,23,27,M,500.0,11320.46
96,24,27,M,500.0,6774.83
97,25,27,M,500.0,14784.45
98,26,27,M,500.0,14697.22
99,27,27,M,500.0,19149.8
100,28,27,M,500.0,10787.39
101,29,27,M,500.0,14869.74
102,30,27,M,500.0,5268.67
103,31,27,M,500.0,6639.14
104,32,27,M,500.0,8757.85
105,33,27,M,500.0,12281.93
106,34,27,M,500.0,16877.96
107,35,27,M,500.0,17033.03
108,36,27,M,500.0,11423.2
109,37,27,M,500.0,29952.7
110,38,27,M,500.0,27128.4
111,39,27,M,500.0,8833.45
112,40,27,M,500.0,6931.84
113,41,27,M,500.0,4681.32
114,42,27,M,500.0,17463.36
115,43,27,M,500.0,19335.89
116,44,27,M,500.0,21592.23
117,45,27,M,500.0,12359.46
118,46,27,M,500.0,4516.55
119,47,27,M,500.0,4497.17
120,48,27,M,500.0,11126.62
121,49,27,M,500.0,17723.11
122,50,27,M,500.0,15524.93
123,51,27,M,500.0,24309.92
124,52,27,M,500.0,6447.24
125,53,27,M,500.0,11361.17
126,54,27,M,500.0,13921.84
127,55,27,M,500.0,17709.54
128,56,27,M,500.0,13999.38
129,57,27,M,500.0,16118.09
130,58,27,M,500.0,24377.76
131,59,27,M,500.0,17314.1
132,60,27,M,500.0,9915.1
133,61,27,M,500.0,18901.68
134,62,27,M,500.0,14208.73
135,63,27,M,500.0,15344.65
136,64,27,M,500.0,16625.96
137,65,27,M,500.0,10766.07
138,66,27,M,500.0,15451.27
139,67,27,M,500.0,8346.9
140,68,27,M,500.0,10655.58
141,69,27,M,500.0,14493.68
142,70,27,M,500.0,12138.48
143,71,27,M,500.0,8426.38
144,72,27,M,500.0,15371.79
145,1,27,L,250.0,20857.56
146,2,27,L,250.0,33761.08
147,3,27,L,250.0,27884.39
148,4,27,L,250.0,47746.89
149,5,27,L,250.0,17126.08
150,6,27,L,250.0,21833.24
151,7,27,L,250.0,26543.64
152,8,27,L,250.0,10280.17
153,9,27,L,250.0,32578.64
154,10,27,L,250.0,39082.09
155,11,27,L,250.0,24734.43
156,12,27,L,250.0,18440.98
157,13,27,L,250.0,38655.63
158,14,27,L,250.0,28291.46
159,15,27,L,250.0,15568.87
160,16,27,L,250.0,42138.35
161,17,27,L,250.0,27467.63
162,18,27,L,250.0,20608.8
163,19,27,L,250.0,15765.94
164,20,27,L,250.0,23248.3
165,21,27,L,250.0,32769.25
166,22,27,L,250.0,37053.19
167,23,27,L,250.0,18867.44
168,24,27,L,250.0,11291.39
169,25,27,L,250.0,24640.74
170,26,27,L,250.0,24495.36
171,27,27,L,250.0,31916.34
172,28,27,L,250.0,17978.99
173,29,27,L,250.0,24782.9
174,30,27,L,250.0,8781.11
175,31,27,L,250.0,11065.23
176,32,27,L,250.0,14596.42
177,33,27,L,250.0,20469.88
178,34,27,L,250.0,28129.93
179,35,27,L,250.0,28388.38
180,36,27,L,250.0,19038.67
181,37,27,L,250.0,49921.17
182,38,27,L,250.0,45214.0
183,39,27,L,250.0,14722.42
184,40,27,L,250.0,11553.07
185,41,27,L,250.0,7802.2
186,42,27,L,250.0,29105.61
187,43,27,L,250.0,32226.49
188,44,27,L,250.0,35987.05
189,45,27,L,250.0,20599.11
190,46,27,L,250.0,7527.59
191,47,27,L,250.0,7495.28
192,48,27,L,250.0,18544.36
193,49,27,L,250.0,29538.52
194,50,27,L,250.0,25874.88
195,51,27,L,250.0,40516.53
196,52,27,L,250.0,10745.39
197,53,27,L,250.0,18935.28
198,54,27,L,250.0,23203.07
199,55,27,L,250.0,29515.91
200,56,27,L,250.0,23332.3
201,57,27,L,250.0,26863.48
202,58,27,L,250.0,40629.6
203,59,27,L,250.0,28856.84
204,60,27,L,250.0,16525.16
205,61,27,L,250.0,31502.8
206,62,27,L,250.0,23681.22
207,63,27,L,250.0,25574.42
208,64,27,L,250.0,27709.93
209,65,27,L,250.0,17943.45
210,66,27,L,250.0,25752.11
211,67,27,L,250.0,13911.5
212,68,27,L,250.0,17759.3
213,69,27,L,250.0,24156.13
214,70,27,L,250.0,20230.8
215,71,27,L,250.0,14043.96
216,72,27,L,250.0,25619.65
217,1,27,sink,30.0,1000000000000.0
218,2,27,sink,30.0,1000000000000.0
219,3,27,sink,30.0,1000000000000.0
220,4,27,sink,30.0,1000000000000.0
221,5,27,sink,30.0,1000000000000.0
222,6,27,sink,30.0,1000000000000.0
223,7,27,sink,30.0,1000000000000.0
224,8,27,sink,30.0,1000000000000.0
225,9,27,sink,30.0,1000000000000.0
226,10,27,sink,30.0,1000000000000.0
227,11,27,sink,30.0,1000000000000.0
228,12,27,sink,30.0,1000000000000.0
229,13,27,sink,30.0,1000000000000.0
230,14,27,sink,30.0,1000000000000.0
231,15,27,sink,30.0,1000000000000.0
232,16,27,sink,30.0,1000000000000.0
233,17,27,sink,30.0,1000000000000.0
234,18,27,sink,30.0,1000000000000.0
235,19,27,sink,30.0,1000000000000.0
236,20,27,sink,30.0,1000000000000.0
237,21,27,sink,30.0,1000000000000.0
238,22,27,sink,30.0,1000000000000.0
239,23,27,sink,30.0,1000000000000.0
240,24,27,sink,30.0,1000000000000.0
241,25,27,sink,30.0,1000000000000.0
242,26,27,sink,30.0,1000000000000.0
243,27,27,sink,30.0,1000000000000.0
244,28,27,sink,30.0,1000000000000.0
245,29,27,sink,30.0,1000000000000.0
246,30,27,sink,30.0,1000000000000.0
247,31,27,sink,30.0,1000000000000.0
248,32,27,sink,30.0,1000000000000.0
249,33,27,sink,30.0,1000000000000.0
250,34,27,sink,30.0,1000000000000.0
251,35,27,sink,30.0,1000000000000.0
252,36,27,sink,30.0,1000000000000.0
253,37,27,sink,30.0,1000000000000.0
254,38,27,sink,30.0,1000000000000.0
255,39,27,sink,30.0,1000000000000.0
256,40,27,sink,30.0,1000000000000.0
257,41,27,sink,30.0,1000000000000.0
258,42,27,sink,30.0,1000000000000.0
259,43,27,sink,30.0,1000000000000.0
260,44,27,sink,30.0,1000000000000.0
261,45,27,sink,30.0,1000000000000.0
262,46,27,sink,30.0,1000000000000.0
263,47,27,sink,30.0,1000000000000.0
264,48,27,sink,30.0,1000000000000.0
265,49,27,sink,30.0,1000000000000.0
266,50,27,sink,30.0,1000000000000.0
267,51,27,sink,30.0,1000000000000.0
268,52,27,sink,30.0,1000000000000.0
269,53,27,sink,30.0,1000000000000.0
270,54,27,sink,30.0,1000000000000.0
271,55,27,sink,30.0,1000000000000.0
272,56,27,sink,30.0,1000000000000.0
273,57,27,sink,30.0,1000000000000.0
274,58,27,sink,30.0,1000000000000.0
275,59,27,sink,30.0,1000000000000.0
276,60,27,sink,30.0,1000000000000.0
277,61,27,sink,30.0,1000000000000.0
278,62,27,sink,30.0,1000000000000.0
279,63,27,sink,30.0,1000000000000.0
280,64,27,sink,30.0,1000000000000.0
281,65,27,sink,30.0,1000000000000.0
282,66,27,sink,30.0,1000000000000.0
283,67,27,sink,30.0,1000000000000.0
284,68,27,sink,30.0,1000000000000.0
285,69,27,sink,30.0,1000000000000.0
286,70,27,sink,30.0,1000000000000.0
287,71,27,sink,30.0,1000000000000.0
288,72,27,sink,30.0,1000000000000.0
289,1,28,cc,0.0,1000000000000.0
290,2,28,cc,0.0,1000000000000.0
291,3,28,cc,0.0,1000000000000.0
292,4,28,cc,0.0,1000000000000.0
293,5,28,cc,0.0,1000000000000.0
294,6,28,cc,0.0,1000000000000.0
295,7,28,cc,0.0,1000000000000.0
296,8,28,cc,0.0,1000000000000.0
297,9,28,cc,0.0,1000000000000.0
298,10,28,cc,0.0,1000000000000.0
299,11,28,cc,0.0,1000000000000.0
300,12,28,cc,0.0,1000000000000.0
301,13,28,cc,0.0,1000000000000.0
302,14,28,cc,0.0,1000000000000.0
303,15,28,cc,0.0,1000000000000.0
304,16,28,cc,0.0,1000000000000.0
305,17,28,cc,0.0,1000000000000.0
306,18,28,cc,0.0,1000000000000.0
307,19,28,cc,0.0,1000000000000.0
308,20,28,cc,0.0,1000000000000.0
309,21,28,cc,0.0,1000000000000.0
310,22,28,cc,0.0,1000000000000.0
311,23,28,cc,0.0,1000000000000.0
312,24,28,cc,0.0,1000000000000.0
313,25,28,cc,0.0,1000000000000.0
314,26,28,cc,0.0,1000000000000.0
315,27,28,cc,0.0,1000000000000.0
316,28,28,cc,0.0,1000000000000.0
317,29,28,cc,0.0,1000000000000.0
318,30,28,cc,0.0,1000000000000.0
319,31,28,cc,0.0,1000000000000.0
320,32,28,cc,0.0,1000000000000.0
321,33,28,cc,0.0,1000000000000.0
322,34,28,cc,0.0,1000000000000.0
323,35,28,cc,0.0,1000000000000.0
324,36,28,cc,0.0,1000000000000.0
325,37,28,cc,0.0,1000000000000.0
326,38,28,cc,0.0,1000000000000.0
327,39,28,cc,0.0,1000000000000.0
328,40,28,cc,0.0,1000000000000.0
329,41,28,cc,0.0,1000000000000.0
330,42,28,cc,0.0,1000000000000.0
331,43,28,cc,0.0,1000000000000.0
332,44,28,cc,0.0,1000000000000.0
333,45,28,cc,0.0,1000000000000.0
334,46,28,cc,0.0,1000000000000.0
335,47,28,cc,0.0,1000000000000.0
336,48,28,cc,0.0,1000000000000.0
337,49,28,cc,0.0,1000000000000.0
338,50,28,cc,0.0,1000000000000.0
339,51,28,cc,0.0,1000000000000.0
340,52,28,cc,0.0,1000000000000.0
341,53,28,cc,0.0,1000000000000.0
342,54,28,cc,0.0,1000000000000.0
343,55,28,cc,0.0,1000000000000.0
344,56,28,cc,0.0,1000000000000.0
345,57,28,cc,0.0,1000000000000.0
346,58,28,cc,0.0,1000000000000.0
347,59,28,cc,0.0,1000000000000.0
348,60,28,cc,0.0,1000000000000.0
349,61,28,cc,0.0,1000000000000.0
350,62,28,cc,0.0,1000000000000.0
351,63,28,cc,0.0,1000000000000.0
352,64,28,cc,0.0,1000000000000.0
353,65,28,cc,0.0,1000000000000.0
354,66,28,cc,0.0,1000000000000.0
355,67,28,cc,0.0,1000000000000.0
356,68,28,cc,0.0,1000000000000.0
357,69,28,cc,0.0,1000000000000.0
358,70,28,cc,0.0,1000000000000.0
359,71,28,cc,0.0,1000000000000.0
360,72,28,cc,0.0,1000000000000.0
