dem_id,node,product,segment,bid,capacity
1,1,28,H,800.0,1000000000000.0
2,2,28,H,800.0,1000000000000.0
3,3,28,H,800.0,1000000000000.0
4,4,28,H,800.0,1000000000000.0
5,5,28,H,800.0,1000000000000.0
6,6,28,H,800.0,1000000000000.0
7,7,28,H,800.0,1000000000000.0
8,8,28,H,800.0,1000000000000.0
9,9,28,H,800.0,1000000000000.0
10,10,28,H,800.0,1000000000000.0
11,11,28,H,800.0,1000000000000.0
12,12,28,H,800.0,1000000000000.0
13,13,28,H,800.0,1000000000000.0
14,14,28,H,800.0,1000000000000.0
15,15,28,H,800.0,1000000000000.0
16,16,28,H,800.0,1000000000000.0
17,17,28,H,800.0,1000000000000.0
18,18,28,H,800.0,1000000000000.0
19,19,28,H,800.0,1000000000000.0
20,20,28,H,800.0,1000000000000.0
21,21,28,H,800.0,1000000000000.0
22,22,28,H,800.0,1000000000000.0
23,23,28,H,800.0,1000000000000.0
24,24,28,H,800.0,1000000000000.0
25,25,28,H,800.0,1000000000000.0
26,26,28,H,800.0,1000000000000.0
27,27,28,H,800.0,1000000000000.0
28,28,28,H,800.0,1000000000000.0
29,29,28,H,800.0,1000000000000.0
30,30,28,H,800.0,1000000000000.0
31,31,28,H,800.0,1000000000000.0
32,32,28,H,800.0,1000000000000.0
33,33,28,H,800.0,1000000000000.0
34,34,28,H,800.0,1000000000000.0
35,35,28,H,800.0,1000000000000.0
36,36,28,H,800.0,1000000000000.0
37,37,28,H,800.0,1000000000000.0
38,38,28,H,800.0,1000000000000.0
39,39,28,H,800.0,1000000000000.0
40,40,28,H,800.0,1000000000000.0
41,41,28,H,800.0,1000000000000.0
42,42,28,H,800.0,1000000000000.0
43,43,28,H,800.0,1000000000000.0
44,44,28,H,800.0,1000000000000.0
45,45,28,H,800.0,1000000000000.0
46,46,28,H,800.0,1000000000000.0
47,47,28,H,800.0,1000000000000.0
48,48,28,H,800.0,1000000000000.0
49,49,28,H,800.0,1000000000000.0
50,50,28,H,800.0,1000000000000.0
51,51,28,H,800.0,1000000000000.0
52,52,28,H,800.0,1000000000000.0
53,53,28,H,800.0,1000000000000.0
54,54,28,H,800.0,1000000000000.0
55,55,28,H,800.0,1000000000000.0
56,56,28,H,800.0,1000000000000.0
57,57,28,H,800.0,1000000000000.0
58,58,28,H,800.0,1000000000000.0
59,59,28,H,800.0,1000000000000.0
60,60,28,H,800.0,1000000000000.0
61,61,28,H,800.0,1000000000000.0
62,62,28,H,800.0,1000000000000.0
63,63,28,H,800.0,1000000000000.0
64,64,28,H,800.0,1000000000000.0
65,65,28,H,800.0,1000000000000.0
66,66,28,H,800.0,1000000000000.0
67,67,28,H,800.0,1000000000000.0
68,68,28,H,800.0,1000000000000.0
69,69,28,H,800.0,1000000000000.0
70,70,28,H,800.0,1000000000000.0
71,71,28,H,800.0,1000000000000.0
72,72,28,H,800.0,1000000000000.0
73,1,27,M,500.0,1000000000000.0
74,1,28,M,500.0,1000000000000.0
75,2,27,M,500.0,1000000000000.0
76,2,28,M,500.0,1000000000000.0
77,3,27,M,500.0,1000000000000.0
78,3,28,M,500.0,1000000000000.0
79,4,27,M,500.0,1000000000000.0
80,4,28,M,500.0,1000000000000.0
81,5,27,M,500.0,1000000000000.0
82,5,28,M,500.0,1000000000000.0
83,6,27,M,500.0,1000000000000.0
84,6,28,M,500.0,1000000000000.0
85,7,27,M,500.0,1000000000000.0
86,7,28,M,500.0,1000000000000.0
87,8,27,M,500.0,1000000000000.0
88,8,28,M,500.0,1000000000000.0
89,9,27,M,500.0,1000000000000.0
90,9,28,M,500.0,1000000000000.0
91,10,27,M,500.0,1000000000000.0
92,10,28,M,500.0,1000000000000.0
93,11,27,M,500.0,1000000000000.0
94,11,28,M,500.0,1000000000000.0
95,12,27,M,500.0,1000000000000.0
96,12,28,M,500.0,1000000000000.0
97,13,27,M,500.0,1000000000000.0
98,13,28,M,500.0,1000000000000.0
99,14,27,M,500.0,1000000000000.0
100,14,28,M,500.0,1000000000000.0
101,15,27,M,500.0,1000000000000.0
102,15,28,M,500.0,1000000000000.0
103,16,27,M,500.0,1000000000000.0
104,16,28,M,500.0,1000000000000.0
105,17,27,M,500.0,1000000000000.0
106,17,28,M,500.0,1000000000000.0
107,18,27,M,500.0,1000000000000.0
108,18,28,M,500.0,1000000000000.0
109,19,27,M,500.0,1000000000000.0
110,19,28,M,500.0,1000000000000.0
111,20,27,M,500.0,1000000000000.0
112,20,28,M,500.0,1000000000000.0
113,21,27,M,500.0,1000000000000.0
114,21,28,M,500.0,1000000000000.0
115,22,27,M,500.0,1000000000000.0
116,22,28,M,500.0,1000000000000.0
117,23,27,M,500.0,1000000000000.0
118,23,28,M,500.0,1000000000000.0
119,24,27,M,500.0,1000000000000.0
120,24,28,M,500.0,1000000000000.0
121,25,27,M,500.0,1000000000000.0
122,25,28,M,500.0,1000000000000.0
123,26,27,M,500.0,1000000000000.0
124,26,28,M,500.0,1000000000000.0
125,27,27,M,500.0,1000000000000.0
126,27,28,M,500.0,1000000000000.0
127,28,27,M,500.0,1000000000000.0
128,28,28,M,500.0,1000000000000.0
129,29,27,M,500.0,1000000000000.0
130,29,28,M,500.0,1000000000000.0
131,30,27,M,500.0,1000000000000.0
132,30,28,M,500.0,1000000000000.0
133,31,27,M,500.0,1000000000000.0
134,31,28,M,500.0,1000000000000.0
135,32,27,M,500.0,1000000000000.0
136,32,28,M,500.0,1000000000000.0
137,33,27,M,500.0,1000000000000.0
138,33,28,M,500.0,1000000000000.0
139,34,27,M,500.0,1000000000000.0
140,34,28,M,500.0,1000000000000.0
141,35,27,M,500.0,1000000000000.0
142,35,28,M,500.0,1000000000000.0
143,36,27,M,500.0,1000000000000.0
144,36,28,M,500.0,1000000000000.0
145,37,27,M,500.0,1000000000000.0
146,37,28,M,500.0,1000000000000.0
147,38,27,M,500.0,1000000000000.0
148,38,28,M,500.0,1000000000000.0
149,39,27,M,500.0,1000000000000.0
150,39,28,M,500.0,1000000000000.0
151,40,27,M,500.0,1000000000000.0
152,40,28,M,500.0,1000000000000.0
153,41,27,M,500.0,1000000000000.0
154,41,28,M,500.0,1000000000000.0
155,42,27,M,500.0,1000000000000.0
156,42,28,M,500.0,1000000000000.0
157,43,27,M,500.0,1000000000000.0
158,43,28,M,500.0,1000000000000.0
159,44,27,M,500.0,1000000000000.0
160,44,28,M,500.0,1000000000000.0
161,45,27,M,500.0,1000000000000.0
162,45,28,M,500.0,1000000000000.0
163,46,27,M,500.0,1000000000000.0
164,46,28,M,500.0,1000000000000.0
165,47,27,M,500.0,1000000000000.0
166,47,28,M,500.0,1000000000000.0
167,48,27,M,500.0,1000000000000.0
168,48,28,M,500.0,1000000000000.0
169,49,27,M,500.0,1000000000000.0
170,49,28,M,500.0,1000000000000.0
171,50,27,M,500.0,1000000000000.0
172,50,28,M,500.0,1000000000000.0
173,51,27,M,500.0,1000000000000.0
174,51,28,M,500.0,1000000000000.0
175,52,27,M,500.0,1000000000000.0
176,52,28,M,500.0,1000000000000.0
177,53,27,M,500.0,1000000000000.0
178,53,28,M,500.0,1000000000000.0
179,54,27,M,500.0,1000000000000.0
180,54,28,M,500.0,1000000000000.0
181,55,27,M,500.0,1000000000000.0
182,55,28,M,500.0,1000000000000.0
183,56,27,M,500.0,1000000000000.0
184,56,28,M,500.0,1000000000000.0
185,57,27,M,500.0,1000000000000.0
186,57,28,M,500.0,1000000000000.0
187,58,27,M,500.0,1000000000000.0
188,58,28,M,500.0,1000000000000.0
189,59,27,M,500.0,1000000000000.0
190,59,28,M,500.0,1000000000000.0
191,60,27,M,500.0,1000000000000.0
192,60,28,M,500.0,1000000000000.0
193,61,27,M,500.0,1000000000000.0
194,61,28,M,500.0,1000000000000.0
195,62,27,M,500.0,1000000000000.0
196,62,28,M,500.0,1000000000000.0
197,63,27,M,500.0,1000000000000.0
198,63,28,M,500.0,1000000000000.0
199,64,27,M,500.0,1000000000000.0
200,64,28,M,500.0,1000000000000.0
201,65,27,M,500.0,1000000000000.0
202,65,28,M,500.0,1000000000000.0
203,66,27,M,500.0,1000000000000.0
204,66,28,M,500.0,1000000000000.0
205,67,27,M,500.0,1000000000000.0
206,67,28,M,500.0,1000000000000.0
207,68,27,M,500.0,1000000000000.0
208,68,28,M,500.0,1000000000000.0
209,69,27,M,500.0,1000000000000.0
210,69,28,M,500.0,1000000000000.0
211,70,27,M,500.0,1000000000000.0
212,70,28,M,500.0,1000000000000.0
213,71,27,M,500.0,1000000000000.0
214,71,28,M,500.0,1000000000000.0
215,72,27,M,500.0,1000000000000.0
216,72,28,M,500.0,1000000000000.0
217,1,27,L,250.0,1000000000000.0
218,1,28,L,250.0,1000000000000.0
219,2,27,L,250.0,1000000000000.0
220,2,28,L,250.0,1000000000000.0
221,3,27,L,250.0,1000000000000.0
222,3,28,L,250.0,1000000000000.0
223,4,27,L,250.0,1000000000000.0
224,4,28,L,250.0,1000000000000.0
225,5,27,L,250.0,1000000000000.0
226,5,28,L,250.0,1000000000000.0
227,6,27,L,250.0,1000000000000.0
228,6,28,L,250.0,1000000000000.0
229,7,27,L,250.0,1000000000000.0
230,7,28,L,250.0,1000000000000.0
231,8,27,L,250.0,1000000000000.0
232,8,28,L,250.0,1000000000000.0
233,9,27,L,250.0,1000000000000.0
234,9,28,L,250.0,1000000000000.0
235,10,27,L,250.0,1000000000000.0
236,10,28,L,250.0,1000000000000.0
237,11,27,L,250.0,1000000000000.0
238,11,28,L,250.0,1000000000000.0
239,12,27,L,250.0,1000000000000.0
240,12,28,L,250.0,1000000000000.0
241,13,27,L,250.0,1000000000000.0
242,13,28,L,250.0,1000000000000.0
243,14,27,L,250.0,1000000000000.0
244,14,28,L,250.0,1000000000000.0
245,15,27,L,250.0,1000000000000.0
246,15,28,L,250.0,1000000000000.0
247,16,27,L,250.0,1000000000000.0
248,16,28,L,250.0,1000000000000.0
249,17,27,L,250.0,1000000000000.0
250,17,28,L,250.0,1000000000000.0
251,18,27,L,250.0,1000000000000.0
252,18,28,L,250.0,1000000000000.0
253,19,27,L,250.0,1000000000000.0
254,19,28,L,250.0,1000000000000.0
255,20,27,L,250.0,1000000000000.0
256,20,28,L,250.0,1000000000000.0
257,21,27,L,250.0,1000000000000.0
258,21,28,L,250.0,1000000000000.0
259,22,27,L,250.0,1000000000000.0
260,22,28,L,250.0,1000000000000.0
261,23,27,L,250.0,1000000000000.0
262,23,28,L,250.0,1000000000000.0
263,24,27,L,250.0,1000000000000.0
264,24,28,L,250.0,1000000000000.0
265,25,27,L,250.0,1000000000000.0
266,25,28,L,250.0,1000000000000.0
267,26,27,L,250.0,1000000000000.0
268,26,28,L,250.0,1000000000000.0
269,27,27,L,250.0,1000000000000.0
270,27,28,L,250.0,1000000000000.0
271,28,27,L,250.0,1000000000000.0
272,28,28,L,250.0,1000000000000.0
273,29,27,L,250.0,1000000000000.0
274,29,28,L,250.0,1000000000000.0
275,30,27,L,250.0,1000000000000.0
