node,segment,capacity
1,H,9534.89
2,H,15433.64
3,H,12747.15
4,H,21827.15
5,H,7829.06
6,H,9980.91
7,H,12134.24
8,H,4699.51
9,H,14893.09
10,H,17866.1
11,H,11307.17
12,H,8430.16
13,H,17671.15
14,H,12933.24
15,H,7117.2
16,H,19263.25
17,H,12556.63
18,H,9421.16
19,H,7207.29
20,H,10627.79
21,H,14980.23
22,H,16938.6
23,H,8625.11
24,H,5161.78
25,H,11264.34
26,H,11197.88
27,H,14590.33
28,H,8218.97
29,H,11329.32
30,H,4014.22
31,H,5058.39
32,H,6672.65
33,H,9357.66
34,H,12859.4
35,H,12977.55
36,H,8703.39
37,H,22821.11
38,H,20669.26
39,H,6730.25
40,H,5281.41
41,H,3566.72
42,H,13305.42
43,H,14732.11
44,H,16451.22
45,H,9416.73
46,H,3441.18
47,H,3426.42
48,H,8477.42
49,H,13503.32
50,H,11828.52
51,H,18521.84
52,H,4912.18
53,H,8656.13
54,H,10607.12
55,H,13492.99
56,H,10666.19
57,H,12280.45
58,H,18573.53
59,H,13191.7
60,H,7554.36
61,H,14401.28
62,H,10825.7
63,H,11691.16
64,H,12667.4
65,H,8202.72
66,H,11772.39
67,H,6359.54
68,H,8118.54
69,H,11042.8
70,H,9248.37
71,H,6420.1
72,H,11711.84
1,M,17877.91
2,M,28938.07
3,M,23900.91
4,M,40925.91
5,M,14679.49
6,M,18714.21
7,M,22751.69
8,M,8811.57
9,M,27924.55
10,M,33498.93
11,M,21200.94
12,M,15806.56
13,M,33133.4
14,M,24249.83
15,M,13344.74
16,M,36118.59
17,M,23543.68
18,M,17664.68
19,M,13513.66
20,M,19927.11
21,M,28087.93
22,M,31759.88
23,M,16172.09
24,M,9678.33
25,M,21120.64
26,M,20996.02
27,M,27356.86
28,M,15410.56
29,M,21242.48
30,M,7526.67
31,M,9484.49
32,M,12511.22
33,M,17545.61
34,M,24111.37
35,M,24332.9
36,M,16318.86
37,M,42789.57
38,M,38754.86
39,M,12619.21
40,M,9902.64
41,M,6687.6
42,M,24947.66
43,M,27622.7
44,M,30846.04
45,M,17656.38
46,M,6452.22
47,M,6424.53
48,M,15895.17
49,M,25318.73
50,M,22178.47
51,M,34728.45
52,M,9210.34
53,M,16230.24
54,M,19888.35
55,M,25299.35
56,M,19999.11
57,M,23025.84
58,M,34825.37
59,M,24734.43
60,M,14164.42
61,M,27002.4
62,M,20298.19
63,M,21920.93
64,M,23751.37
65,M,15380.1
66,M,22073.24
67,M,11924.15
68,M,15222.26
69,M,20705.26
70,M,17340.69
71,M,12037.68
72,M,21959.7
1,L,29796.52
2,L,48230.12
3,L,39834.85
4,L,68209.85
5,L,24465.82
6,L,31190.35
7,L,37919.49
8,L,14685.96
9,L,46540.91
10,L,55831.55
11,L,35334.91
12,L,26344.26
13,L,55222.33
14,L,40416.38
15,L,22241.24
16,L,60197.65
17,L,39239.47
18,L,29441.14
19,L,22522.77
20,L,33211.86
21,L,46813.21
22,L,52933.13
23,L,26953.48
24,L,16130.55
25,L,35201.06
26,L,34993.37
27,L,45594.77
28,L,25684.27
29,L,35404.14
30,L,12544.45
31,L,15807.48
32,L,20852.03
33,L,29242.68
34,L,40185.61
35,L,40554.84
36,L,27198.09
37,L,71315.96
38,L,64591.43
39,L,21032.02
40,L,16504.39
41,L,11146.0
42,L,41579.44
43,L,46037.84
44,L,51410.07
45,L,29427.29
46,L,10753.7
47,L,10707.55
48,L,26491.95
49,L,42197.89
50,L,36964.11
51,L,57880.75
52,L,15350.56
53,L,27050.4
54,L,33147.24
55,L,42165.58
56,L,33331.86
57,L,38376.4
58,L,58042.29
59,L,41224.06
60,L,23607.37
61,L,45004.01
62,L,33830.31
63,L,36534.89
64,L,39585.62
65,L,25633.5
66,L,36788.73
67,L,19873.58
68,L,25370.43
69,L,34508.76
70,L,28901.15
71,L,20062.81
72,L,36599.5
