tech_id,name
1,T1_Dehyd_Corn_Stover
2,T1_Dehyd_Soybean_Straw
3,T1_Dehyd_Wheat_Straw
4,T1_Dehyd_Oats_Straw
5,T1_Dehyd_Barley_Straw
6,T1_Dehyd_Switchgrass
7,T1_Dehyd_Miscanthus
8,T1_Dehyd_Poplar
9,T1_Dehyd_Willow
10,T1_Dehyd_Logging_Residues
11,T1_Dehyd_SmallDiameter_Trees
12,T1_Dehyd_Mill_Residues
13,T1_Dehyd_Other_Forest_Waste
14,T2300C_Pyrol_Corn_Stover
15,T2300C_Pyrol_Soybean_Straw
16,T2300C_Pyrol_Wheat_Straw
17,T2300C_Pyrol_Oats_Straw
18,T2300C_Pyrol_Barley_Straw
19,T2300C_Pyrol_Switchgrass
20,T2300C_Pyrol_Miscanthus
21,T2300C_Pyrol_Poplar
22,T2300C_Pyrol_Willow
23,T2300C_Pyrol_Logging_Residues
24,T2300C_Pyrol_SmallDiameter_Trees
25,T2300C_Pyrol_Mill_Residues
26,T2300C_Pyrol_Other_Forest_Waste
27,T2500C_Pyrol_Corn_Stover
28,T2500C_Pyrol_Soybean_Straw
29,T2500C_Pyrol_Wheat_Straw
30,T2500C_Pyrol_Oats_Straw
31,T2500C_Pyrol_Barley_Straw
32,T2500C_Pyrol_Switchgrass
33,T2500C_Pyrol_Miscanthus
34,T2500C_Pyrol_Poplar
35,T2500C_Pyrol_Willow
36,T2500C_Pyrol_Logging_Residues
37,T2500C_Pyrol_SmallDiameter_Trees
38,T2500C_Pyrol_Mill_Residues
39,T2500C_Pyrol_Other_Forest_Waste
