node,product,inherent_value
1,1,40.98507733260199
1,2,-0.0
1,3,-0.0
1,4,-0.0
1,5,-0.0
1,6,-0.0
1,7,41.860278621648064
1,8,-0.0
1,9,-0.0
1,10,-0.0
1,11,-0.0
1,12,-0.0
1,13,-0.0
2,1,27.815002033693276
2,2,-0.0
2,3,-0.0
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,28.35741915879815
2,8,-0.0
2,9,-0.0
2,10,-0.0
2,11,-0.0
2,12,-0.0
2,13,-0.0
3,1,59.25799813410697
3,2,-0.0
3,3,-0.0
3,4,-0.0
3,5,-0.0
3,6,-0.0
3,7,38.60017731601239
3,8,-0.0
3,9,-0.0
3,10,-0.0
3,11,-0.0
3,12,-0.0
3,13,-0.0
4,1,33.81517755673454
4,2,-0.0
4,3,-0.0
4,4,-0.0
4,5,-0.0
4,6,-0.0
4,7,27.62196675233833
4,8,-0.0
4,9,-0.0
4,10,-0.0
4,11,-0.0
4,12,-0.0
4,13,-0.0
5,1,42.16646473528206
5,2,-0.0
5,3,-0.0
5,4,-0.0
5,5,-0.0
5,6,-0.0
5,7,37.934798420579035
5,8,-0.0
5,9,-0.0
5,10,-0.0
5,11,-0.0
5,12,-0.0
5,13,-0.0
6,1,43.06336107411604
6,2,-0.0
6,3,-0.0
6,4,-0.0
6,5,-0.0
6,6,-0.0
6,7,41.2627511826143
6,8,-0.0
6,9,-0.0
6,10,-0.0
6,11,-0.0
6,12,-0.0
6,13,-0.0
7,1,45.849185504390476
7,2,-0.0
7,3,-0.0
7,4,-0.0
7,5,-0.0
7,6,-0.0
7,7,31.13336204435651
7,8,-0.0
7,9,-0.0
7,10,-0.0
7,11,-0.0
7,12,-0.0
7,13,-0.0
8,1,45.67101561933633
8,2,-0.0
8,3,-0.0
8,4,-0.0
8,5,-0.0
8,6,-0.0
8,7,31.685560991913146
8,8,-0.0
8,9,-0.0
8,10,-0.0
8,11,-0.0
8,12,-0.0
8,13,-0.0
9,1,56.660202900447594
9,2,-0.0
9,3,-0.0
9,4,-0.0
9,5,-0.0
9,6,-0.0
9,7,46.48967930783934
9,8,-0.0
9,9,-0.0
9,10,-0.0
9,11,-0.0
9,12,-0.0
