policy,p_c,consumer_M,credit_rev_M,tax_M,resource_M,surplus_M,net_Mt,cc_Mt,status
A,0.0,1390.000011,0.0,0.0,652.9061375549074,737.0938734450926,-1.651162921709898,10.91813205260669,OPTIMAL
A,25.0,2009.157258500264,572.8066741955574,0.0,1391.7630051639364,1190.2009275318792,-3.422370712844585,22.912266967821747,TIME_LIMIT
A,50.0,2013.6418483857994,1154.4248974763505,0.0,1403.1959847359308,1764.870761126219,-3.4372338506621887,23.08849794952665,TIME_LIMIT
A,100.0,2018.4377352011247,2735.093365592209,0.0,1683.440573576784,3070.090527216551,-4.525178786414383,27.350933655921978,TIME_LIMIT
A,150.0,2014.985064411449,4152.7847524541,0.0,1683.2372042515146,4484.532612614036,-4.7115972179281975,27.68523168302225,TIME_LIMIT
A,200.0,2014.8931106935272,5537.242362994888,0.0,1681.74291295858,5870.3925607298415,-4.713046612738648,27.68621181497453,TIME_LIMIT
C2,50.0,1390.000011,42.95124502040838,58.25289353149866,689.9869974518889,684.7113650370226,-1.890264654985598,0.859024900408156,OPTIMAL
C2,100.0,1487.4623598980263,443.0472630495614,92.98795095160882,964.4564533865436,873.0652186094353,-3.197952916432631,4.430472630495615,OPTIMAL
C2,150.0,1792.2315689835527,967.5541233455324,158.41319113031608,1438.7375911759898,1162.6349100227796,-4.626955735404024,6.450360822303553,TIME_LIMIT
C2,200.0,1850.6220295098683,1369.6143683624643,173.0490417611996,1551.7748695243724,1495.412486586761,-4.890447088889927,6.848071841812326,TIME_LIMIT
