lon,lat,techclass,scale,count
-91.852892,45.437192,T1 drying,2,1
-91.852892,45.437192,T2 300C,2,1
-91.283505,45.069092,T1 drying,2,3
-91.283505,45.069092,T2 300C,2,2
-90.609953,44.739346,T1 drying,3,1
-90.609953,44.739346,T2 300C,3,1
-89.417852,43.067468,T1 drying,1,2
-89.417852,43.067468,T1 drying,3,1
-89.417852,43.067468,T2 300C,3,1
-88.701939,43.429628,T1 drying,3,1
-88.701939,43.429628,T2 300C,3,1
-91.897645,44.947751,T1 drying,2,2
-91.897645,44.947751,T2 300C,2,1
-91.286414,44.726355,T1 drying,1,2
-88.493284,43.754722,T1 drying,2,2
-88.493284,43.754722,T2 300C,2,1
-90.694229,42.870028,T1 drying,1,2
-90.694229,42.870028,T1 drying,2,1
-90.694229,42.870028,T2 300C,2,1
-89.605074,42.675522,T1 drying,2,1
-90.79951,44.32459,T1 drying,2,1
-90.79951,44.32459,T2 300C,2,1
-89.73224,45.333148,T1 drying,1,1
-89.757823,44.898036,T1 drying,3,1
-89.757823,44.898036,T2 300C,3,1
-88.206516,44.996575,T1 drying,2,2
-88.206516,44.996575,T2 300C,2,1
-92.426279,44.725336,T1 drying,2,1
-92.426279,44.725336,T2 300C,2,1
-92.447066,45.462041,T1 drying,1,2
-89.075284,42.66988,T1 drying,3,1
-89.075284,42.66988,T2 300C,3,1
-91.136745,45.472734,T1 drying,2,1
-91.136745,45.472734,T2 300C,2,1
-92.447284,45.028959,T1 drying,2,3
-92.447284,45.028959,T2 300C,2,2
-87.731516,43.741232,T1 drying,2,2
-87.731516,43.741232,T2 300C,2,1
-90.504853,45.211656,T1 drying,1,3
-91.358867,44.30305,T1 drying,1,2
-88.232917,43.391156,T1 drying,2,1
-88.967005,44.478004,T1 drying,1,2
-88.967005,44.478004,T1 drying,2,1
-88.967005,44.478004,T2 300C,2,1
-88.668149,44.085707,T1 drying,1,2
-88.668149,44.085707,T1 drying,2,1
-88.668149,44.085707,T2 300C,2,1
