experiment,instrument,key,credit_rev,tax,allowance,surplus,net,cc
S0 baseline,none,--,0.0,0.0,0.0,735.74,-1.648,0.0
B1 gross cap,cap,492 kt,0.0,0.0,0.0,457.6290064300255,,
B1 gross cap,cap,590 kt,0.0,0.0,0.0,516.9164662711339,,
B1 gross cap,cap,688 kt,0.0,0.0,0.0,575.515184832248,,
B1 gross cap,cap,737 kt,0.0,0.0,0.0,604.2659632974155,,
B1 gross cap,cap,787 kt,0.0,0.0,0.0,632.630695608988,,
B1 gross cap,cap,836 kt,0.0,0.0,0.0,660.6011759903971,,
B1 gross cap,cap,885 kt,0.0,0.0,0.0,687.6061512025434,,
B1 gross cap,cap,934 kt,0.0,0.0,0.0,712.2739604668568,,
B1 gross cap,cap,964 kt,0.0,0.0,0.0,726.545146165436,,
B1 gross cap,cap,983 kt,0.0,0.0,0.0,735.7426312756336,,
B1 gross cap,cap,1003 kt,0.0,0.0,0.0,735.7426312756336,,
B1 gross cap,cap,1032 kt,0.0,0.0,0.0,735.7426312756336,,
B2 net cap,net cap,-1600 kt,0.0,0.0,0.0,736.4152696631254,-1.6484498666944711,
B2 net cap,net cap,-1700 kt,0.0,0.0,0.0,735.0552063397246,-1.6999999999999997,
B2 net cap,net cap,-1800 kt,0.0,0.0,0.0,732.0238776645567,-1.7999999999999792,
B2 net cap,net cap,-1900 kt,0.0,0.0,0.0,727.3014505891647,-1.9,
B2 net cap,net cap,-2000 kt,0.0,0.0,0.0,723.0265001959872,-1.9999999999999996,
B2 net cap,net cap,-2100 kt,0.0,0.0,0.0,719.7770304144784,-2.0999999999999996,
B2 net cap,net cap,-2200 kt,0.0,0.0,0.0,714.0755905734354,-2.2011268347524315,
C1 tiered tax,tax,25/50/100,0.0,-54.07840194386975,0.0,681.6642293317637,,
C1 tiered tax,tax,50/100/200,0.0,-108.1568038877395,0.0,627.585827387894,,
C1 tiered tax,tax,25/25/25,0.0,-24.581091792668047,0.0,711.1615394829655,,
C3 allocation,allowance,"grandfather, 30 USD/t",0.0,0.0,0.0,735.7426312756334,,
C3 allocation,allowance,"grandfather, 80 USD/t",0.0,0.0,0.0,735.7426312756335,,
C3 allocation,allowance,"benchmark, 30 USD/t",0.0,0.0,0.0,735.7426312756335,,
C3 allocation,allowance,"benchmark, 80 USD/t",0.0,0.0,0.0,735.7426312756331,,
A baseline-credit,credit,0 USD/t,0.0,0.0,0.0,737.0938734450926,-1.651162921709898,10.91813205260669
A baseline-credit,credit,25 USD/t,572.8066741955574,0.0,0.0,1190.2009275318792,-3.422370712844585,22.912266967821747
A baseline-credit,credit,50 USD/t,1154.4248974763505,0.0,0.0,1764.870761126219,-3.4372338506621887,23.08849794952665
A baseline-credit,credit,100 USD/t,2735.09336559221,0.0,0.0,3070.090527216551,-4.525178786414383,27.350933655921978
A baseline-credit,credit,150 USD/t,4152.7847524541,0.0,0.0,4484.532612614036,-4.7115972179281975,27.68523168302225
A baseline-credit,credit,200 USD/t,5537.242362994888,0.0,0.0,5870.3925607298415,-4.713046612738648,27.68621181497453
C2 tax + gated credit,tax + credit,50 USD/t,42.95124502040838,-58.25289353149866,0.0,684.7113650370226,-1.890264654985598,0.859024900408156
C2 tax + gated credit,tax + credit,100 USD/t,443.0472630495614,-92.98795095160882,0.0,873.0652186094353,-3.197952916432631,4.430472630495615
C2 tax + gated credit,tax + credit,150 USD/t,967.5541233455324,-158.41319113031608,0.0,1162.6349100227796,-4.626955735404024,6.450360822303553
C2 tax + gated credit,tax + credit,200 USD/t,1369.6143683624643,-173.0490417611996,0.0,1495.412486586761,-4.890447088889927,6.848071841812326
