row,seg,node,margin,e_d,tau,route
73,M,1,226.02,440.342,0.5,"T1:2.87, T14:2.63"
74,M,2,212.03,456.186,0.5,"T1:2.87, T14:2.63"
75,M,3,226.54,443.77,0.5,"T1:2.87, T14:2.63"
76,M,4,211.74,456.513,0.5,"T1:2.87, T14:2.63"
77,M,5,224.14,442.463,0.5,"T1:2.87, T14:2.63"
78,M,6,223.92,442.703,0.5,"T1:2.87, T14:2.63"
79,M,7,219.66,447.584,0.5,"T1:2.87, T14:2.63"
80,M,8,227.88,438.239,0.5,"T1:2.87, T14:2.63"
81,M,9,229.18,440.798,0.5,"T1:2.87, T14:2.63"
82,M,10,230.84,438.924,0.5,"T1:2.87, T14:2.63"
83,M,11,230.33,435.48,0.5,"T1:2.87, T14:2.63"
84,M,12,226.6,439.684,0.5,"T1:2.87, T14:2.63"
87,M,15,216.34,451.258,0.5,"T1:2.87, T14:2.63"
88,M,16,213.91,454.064,0.5,"T1:2.87, T14:2.63"
89,M,17,230.89,438.865,0.5,"T1:2.87, T14:2.63"
90,M,18,223.07,443.746,0.5,"T1:2.87, T14:2.63"
91,M,19,212.74,455.316,0.5,"T1:2.87, T14:2.63"
92,M,20,234.78,434.41,0.5,"T1:2.87, T14:2.63"
93,M,21,214.95,452.9,0.5,"T1:2.87, T14:2.63"
94,M,22,233.77,435.549,0.5,"T1:2.87, T14:2.63"
95,M,23,233.32,432.108,0.5,"T1:2.87, T14:2.63"
96,M,24,230.84,434.905,0.5,"T1:2.87, T14:2.63"
97,M,25,229.28,436.664,0.5,"T1:2.87, T14:2.63"
98,M,26,213.06,455.031,0.5,"T1:2.87, T14:2.63"
99,M,27,228.43,441.565,0.5,"T1:2.87, T14:2.63"
100,M,28,233.15,432.301,0.5,"T1:2.87, T14:2.63"
101,M,29,225.06,441.423,0.5,"T1:2.87, T14:2.63"
102,M,30,228.93,437.06,0.5,"T1:2.87, T14:2.63"
103,M,31,221.22,445.747,0.5,"T1:2.87, T14:2.63"
104,M,32,220.73,446.308,0.5,"T1:2.87, T14:2.63"
105,M,33,229.88,435.983,0.5,"T1:2.87, T14:2.63"
106,M,34,218.78,448.582,0.5,"T1:2.87, T14:2.63"
107,M,35,220.28,446.888,0.5,"T1:2.87, T14:2.63"
108,M,36,225.3,441.148,0.5,"T1:2.87, T14:2.63"
109,M,37,227.65,442.52,0.5,"T1:2.87, T14:2.63"
110,M,38,216.76,450.777,0.5,"T1:2.87, T14:2.63"
111,M,39,228.65,437.378,0.5,"T1:2.87, T14:2.63"
112,M,40,220.65,446.389,0.5,"T1:2.87, T14:2.63"
113,M,41,228.58,437.455,0.5,"T1:2.87, T14:2.63"
114,M,42,222.97,443.782,0.5,"T1:2.87, T14:2.63"
115,M,43,223.66,446.948,0.5,"T1:2.87, T14:2.63"
116,M,44,216.74,450.876,0.5,"T1:2.87, T14:2.63"
117,M,45,225.48,440.946,0.5,"T1:2.87, T14:2.63"
118,M,46,228.85,437.145,0.5,"T1:2.87, T14:2.63"
119,M,47,225.27,441.186,0.5,"T1:2.87, T14:2.63"
120,M,48,232.61,436.855,0.5,"T1:2.87, T14:2.63"
121,M,49,223.28,443.508,0.5,"T1:2.87, T14:2.63"
122,M,50,223.79,442.852,0.5,"T1:2.87, T14:2.63"
123,M,51,218.84,448.514,0.5,"T1:2.87, T14:2.63"
124,M,52,228.21,437.87,0.5,"T1:2.87, T14:2.63"
125,M,53,226.82,439.432,0.5,"T1:2.87, T14:2.63"
127,M,55,225.48,444.975,0.5,"T1:2.87, T14:2.63"
128,M,56,230.63,439.164,0.5,"T1:2.87, T14:2.63"
129,M,57,229.29,436.648,0.5,"T1:2.87, T14:2.63"
130,M,58,218.55,448.838,0.5,"T1:2.87, T14:2.63"
131,M,59,222.51,444.367,0.5,"T1:2.87, T14:2.63"
132,M,60,232.62,436.841,0.5,"T1:2.87, T14:2.63"
133,M,61,223.09,443.72,0.5,"T1:2.87, T14:2.63"
134,M,62,221.37,445.585,0.5,"T1:2.87, T14:2.63"
135,M,63,223.73,442.923,0.5,"T1:2.87, T14:2.63"
136,M,64,213.78,454.213,0.5,"T1:2.87, T14:2.63"
137,M,65,233.3,432.136,0.5,"T1:2.87, T14:2.63"
138,M,66,218.98,448.354,0.5,"T1:2.87, T14:2.63"
139,M,67,231.35,434.323,0.5,"T1:2.87, T14:2.63"
140,M,68,230.88,434.862,0.5,"T1:2.87, T14:2.63"
141,M,69,229.09,440.897,0.5,"T1:2.87, T14:2.63"
142,M,70,227.41,438.766,0.5,"T1:2.87, T14:2.63"
143,M,71,232.21,437.306,0.5,"T1:2.87, T14:2.63"
144,M,72,222.96,443.865,0.5,"T1:2.87, T14:2.63"
85,M,13,237.47,431.374,0.6,"T1:2.87, T14:2.63"
86,M,14,237.91,430.884,0.6,"T1:2.87, T14:2.63"
126,M,54,240.28,428.201,0.6,"T1:2.87, T14:2.63"
