case,profit_M,bc_Mt,ghg_Mt,status
baseline,735.7426312756336,2.3000000099999998,-1.6481973879950973,OPTIMAL
farmgate -20%,802.5126603752307,2.36544,-1.693992623259713,OPTIMAL
farmgate +20%,669.8897892011598,2.3000000099999998,-1.6481973879950973,OPTIMAL
farmgate +100%,406.52572969342015,2.30000001,-1.6469636661787148,OPTIMAL
transport -20%,740.4803552154441,2.30000001,-1.6469636661787148,OPTIMAL
transport +20%,731.0070907813912,2.3000000099999998,-1.6481973879950973,OPTIMAL
demand cap -20%,579.8870433670473,2.0370752701,-1.465878224049376,OPTIMAL
demand cap +20%,801.8007027798342,2.36544,-1.6966950706668713,OPTIMAL
demand price -20%,457.74262907563354,2.3000000099999998,-1.6481973879950973,OPTIMAL
demand price +20%,1016.0686620752306,2.36544,-1.693992623259713,OPTIMAL
sink $0,735.7426312756336,2.3000000099999998,-1.6481973879950973,OPTIMAL
sink $60,735.7426312756336,2.3000000099999998,-1.6481973879950973,OPTIMAL
supply cap -40%,703.1831200338988,2.3000000099999998,-1.633925290060752,OPTIMAL
