node,product,inherent_value
1,1,62.00713069717267
1,2,43.44690388664781
1,3,-0.0
1,4,-0.0
1,5,-0.0
1,6,-0.0
1,7,-0.0
1,8,-0.0
1,9,-0.0
1,10,12.562813310575752
1,11,-0.0
1,12,-0.0
1,13,-0.0
2,1,40.40815771057542
2,2,33.34917447498472
2,3,-0.0
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,-0.0
2,8,-0.0
2,9,-0.0
2,10,23.0
2,11,-0.0
2,12,-0.0
2,13,-0.0
3,1,60.17582866802631
3,2,64.79217057539842
3,3,-0.0
3,4,-0.0
3,5,-0.0
3,6,-0.0
3,7,-0.0
3,8,-0.0
3,9,-0.0
3,10,23.0
3,11,-0.0
3,12,-0.0
3,13,-0.0
4,1,38.81308308134602
4,2,39.349349998025986
4,3,-0.0
4,4,-0.0
4,5,-0.0
4,6,-0.0
4,7,-0.0
4,8,-0.0
4,9,-0.0
4,10,23.0
4,11,-0.0
4,12,-0.0
4,13,-0.0
5,1,64.44947528956745
5,2,36.808577356588465
5,3,-0.0
5,4,-0.0
5,5,-0.0
5,6,-0.0
5,7,-0.0
5,8,-0.0
5,9,-0.0
5,10,-0.0
5,11,-0.0
5,12,-0.0
5,13,-0.0
6,1,67.5746481557991
6,2,47.4798187029954
6,3,-0.0
6,4,-0.0
6,5,-0.0
6,6,-0.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,13.912839849599486
6,11,-0.0
6,12,-0.0
6,13,-0.0
7,1,59.31987835235827
7,2,51.38335794568192
7,3,-0.0
7,4,-0.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
7,8,-0.0
7,9,-0.0
7,10,21.37884054229484
7,11,-0.0
7,12,-0.0
7,13,-0.0
8,1,63.740458773363954
8,2,33.55052226436909
8,3,-0.0
8,4,-0.0
8,5,-0.0
8,6,-0.0
8,7,-0.0
8,8,-0.0
8,9,-0.0
8,10,-0.0
8,11,-0.0
8,12,-0.0
8,13,-0.0
9,1,65.69249702698686
9,2,63.341690150213296
9,3,-0.0
9,4,-0.0
9,5,-0.0
9,6,-0.0
9,7,-0.0
9,8,-0.0
9,9,-0.0
9,10,21.599987432061617
9,11,-0.0
9,12,-0.0
