feedstock,c_in,c_char_300,c_char_500,c_gas_300,c_gas_500,e_300,e_500,n2o_300,n2o_500,s_300,s_500,b,n_300,n_500,credit_A_300,credit_A_500,credit_C2_300,credit_C2_500,hc300,hc500,eligible_300,eligible_500
Corn_Stover,450.0,171.0,165.0,279.0,285.0,158.8090909090909,150.3090909090909,19.76,15.6,387.79,468.38999999999993,1485.0,-228.9809090909091,-318.080909090909,1.713980909090909,1.803080909090909,0.0,0.4683899999999999,1.4,0.49,False,True
Soybean_Straw,430.0,154.79999999999998,149.36842105263156,275.20000000000005,280.63157894736844,157.7093023255814,149.2093023255814,18.72,14.778947368421052,350.20799999999997,423.36,1418.9999999999998,-192.49869767441857,-274.1506976744186,1.6114986976744186,1.6931506976744186,0.0,0.42336,1.3,0.5,False,True
Wheat_Straw,420.0,147.0,141.8421052631579,273.0,278.1578947368421,157.19142857142856,148.69142857142856,18.2,14.368421052631577,332.15,401.7078947368421,1386.0000000000002,-174.95857142857142,-253.01646616541353,1.5609585714285719,1.6390164661654136,0.0,0.4017078947368421,1.25,0.51,False,True
Oats_Straw,410.0,139.4,134.50877192982458,270.6,275.49122807017545,157.39655172413794,148.89655172413794,17.68,13.957894736842105,314.56800000000004,380.5942105263158,1353.0,-157.1714482758621,-231.69765880217787,1.5101714482758621,1.584697658802178,0.0,0.3805942105263158,1.25,0.52,False,True
Barley_Straw,410.0,139.4,134.50877192982458,270.6,275.49122807017545,157.0909090909091,148.5909090909091,17.68,13.957894736842105,314.56800000000004,380.5942105263158,1353.0,-157.47709090909095,-232.0033014354067,1.510477090909091,1.5850033014354066,0.0,0.3805942105263158,1.25,0.51,False,True
Switchgrass,470.0,178.6,172.33333333333331,291.4,297.6666666666667,157.19142857142856,148.69142857142856,19.76,15.6,405.91600000000005,489.9,1551.0,-248.7245714285715,-341.2085714285714,1.7997245714285715,1.8922085714285712,0.0,0.4899,1.3,0.47,False,True
Miscanthus,480.0,177.59999999999997,171.3684210526316,302.40000000000003,308.63157894736844,157.92352941176472,149.42352941176472,19.24,15.189473684210528,404.03999999999996,487.49447368421056,1583.9999999999998,-246.11647058823525,-338.07094427244584,1.830116470588235,1.9220709442724455,0.0,0.48749447368421056,1.3,0.45,False,True
Poplar,500.0,175.0,168.859649122807,325.0,331.140350877193,172.39090909090908,163.89090909090908,18.2,14.368421052631577,398.895,480.95526315789465,1650.0000000000002,-226.5040909090909,-317.0643540669856,1.8765040909090913,1.9670643540669859,0.0,0.48095526315789466,1.1,0.4,False,True
Willow,500.0,175.0,168.859649122807,325.0,331.140350877193,172.39090909090908,163.89090909090908,18.2,14.368421052631577,398.895,480.95526315789465,1650.0000000000002,-226.5040909090909,-317.0643540669856,1.8765040909090913,1.9670643540669859,0.0,0.48095526315789466,1.1,0.4,False,True
Logging_Residues,490.0,161.70000000000002,156.0263157894737,328.29999999999995,333.9736842105263,170.6478260869565,162.1478260869565,17.16,13.547368421052633,368.214,444.11921052631584,1617.0,-197.56617391304349,-281.9713844393593,1.8145661739130434,1.8989713844393594,0.0,0.44411921052631587,1.05,0.42,False,True
SmallDiameter_Trees,490.0,161.70000000000002,156.0263157894737,328.29999999999995,333.9736842105263,172.39090909090908,163.89090909090908,17.16,13.547368421052633,368.214,444.11921052631584,1617.0,-195.82309090909092,-280.22830143540676,1.8128230909090908,1.8972283014354066,0.0,0.44411921052631587,1.05,0.41,False,True
Mill_Residues,500.0,170.0,164.03508771929825,330.0,335.96491228070175,166.0846153846154,157.5846153846154,17.68,13.957894736842105,387.49800000000005,467.2136842105263,1650.0000000000002,-221.41338461538464,-309.6290688259109,1.871413384615385,1.9596290688259113,0.0,0.46721368421052634,1.0,0.4,False,True
Other_Forest_Waste,470.0,164.49999999999997,158.72807017543857,305.5,311.2719298245614,159.6375,151.1375,18.2,14.368421052631577,373.87,451.2236842105263,1551.0,-214.23250000000002,-300.0861842105263,1.7652325,1.8510861842105262,0.0,0.4512236842105263,1.15,0.45,False,True
