policy,p_c,consumer_M,credit_rev_M,tax_M,resource_M,surplus_M,net_Mt,cc_Mt,status
A,0.0,1390.0000110000178,0.0,0.0,681.4287300883816,708.5712809116363,-1.5952608319673014,10.772557273262692,TIME_LIMIT
A,25.0,1494.8151692801914,320.9353369259464,0.0,818.5963014587168,997.1542047474207,-1.8701194819729905,12.83741347703766,TIME_LIMIT (cert)
A,50.0,1523.0118407818347,672.6573889448841,0.0,874.5931749496215,1321.0760547770976,-1.94644868883731,13.453147778897684,TIME_LIMIT
A,100.0,1528.4395391177788,1356.4558116929516,0.0,880.8685675788137,2004.026783231916,-1.962134685673841,13.564558116929517,TIME_LIMIT
A,150.0,1528.3041308607458,2034.7627975405799,0.0,880.4292399308149,2682.637688470512,-1.9629972764778865,13.565085316936846,TIME_LIMIT
A,200.0,1528.3041860631772,2713.017310837139,0.0,880.4015767688658,3360.919920131447,-1.9629886360468376,13.56508655418575,TIME_LIMIT
C2,50.0,1390.0000110001793,2.031597708415045e-11,55.13913159561849,681.5685307810893,653.2923486234926,-1.5952475141343354,3.8644971900101284e-13,TIME_LIMIT
C2,100.0,1358.905819355483,363.0395803180635,74.9586870778979,875.318074176577,771.6686384190713,-2.545846138699882,3.6303958031806336,TIME_LIMIT
C2,150.0,1359.816553613502,544.981126262018,74.48548242692765,867.1015968316403,963.2106006169522,-2.553484629976696,3.6332075084134527,TIME_LIMIT (cert)
C2,200.0,1361.6017685002264,727.8447654641182,75.15611609985253,875.9808966456193,1138.3095212188737,-2.552980142263956,3.63922382732059,TIME_LIMIT
