lon,lat,techclass,scale,count
-90.679691,46.544424,T1 drying,1,2
-90.679691,46.544424,T2 300C,1,1
-91.852892,45.437192,T1 drying,1,3
-91.852892,45.437192,T1 drying,1,1
-91.852892,45.437192,T2 300C,1,1
-91.852892,45.437192,T2 300C,1,1
-91.177282,46.634199,T1 drying,1,2
-91.177282,46.634199,T2 300C,1,1
-87.99613,44.474024,T1 drying,1,2
-91.761294,44.385633,T1 drying,1,2
-91.761294,44.385633,T2 300C,1,1
-92.37573,45.866897,T1 drying,1,1
-91.283505,45.069092,T1 drying,1,2
-91.283505,45.069092,T1 drying,2,1
-91.283505,45.069092,T1 drying,1,1
-91.283505,45.069092,T2 300C,2,1
-90.609953,44.739346,T1 drying,2,1
-90.609953,44.739346,T1 drying,1,1
-90.609953,44.739346,T1 drying,1,2
-90.609953,44.739346,T2 300C,2,1
-90.609953,44.739346,T2 300C,1,1
-89.417852,43.067468,T1 drying,3,1
-89.417852,43.067468,T1 drying,1,2
-89.417852,43.067468,T2 300C,3,1
-89.417852,43.067468,T2 300C,1,1
-88.701939,43.429628,T1 drying,3,1
-88.701939,43.429628,T2 300C,3,1
-91.892477,46.463218,T1 drying,1,1
-91.897645,44.947751,T1 drying,1,2
-91.897645,44.947751,T1 drying,2,1
-91.897645,44.947751,T1 drying,1,1
-91.897645,44.947751,T2 300C,2,1
-91.897645,44.947751,T2 300C,1,1
-91.286414,44.726355,T1 drying,1,2
-91.286414,44.726355,T2 300C,1,1
-88.493284,43.754722,T1 drying,1,2
-88.493284,43.754722,T1 drying,2,1
-88.493284,43.754722,T2 300C,2,1
-88.773326,45.666881,T1 drying,1,3
-88.773326,45.666881,T2 300C,1,1
-90.694229,42.870028,T1 drying,2,1
-90.694229,42.870028,T2 300C,2,1
-89.605074,42.675522,T1 drying,2,1
-89.605074,42.675522,T1 drying,1,1
-88.97038,43.780247,T1 drying,2,1
-90.133691,43.001021,T1 drying,2,1
-90.261298,46.32655,T1 drying,1,1
-90.79951,44.32459,T1 drying,2,1
-90.79951,44.32459,T2 300C,2,1
-88.773985,43.013804,T1 drying,1,2
-88.773985,43.013804,T1 drying,2,1
-88.773985,43.013804,T2 300C,2,1
-90.113984,43.932836,T1 drying,1,1
-87.879996,42.587526,T1 drying,1,2
-87.448008,44.605677,T1 drying,2,1
-87.448008,44.605677,T2 300C,2,1
-91.111758,43.908222,T1 drying,1,1
-90.130292,42.655578,T1 drying,2,1
-90.130292,42.655578,T2 300C,2,1
-89.73224,45.333148,T1 drying,1,2
-89.757823,44.898036,T1 drying,2,1
-89.757823,44.898036,T1 drying,1,1
-89.757823,44.898036,T1 drying,1,2
-89.757823,44.898036,T2 300C,2,1
-90.619969,43.945175,T1 drying,1,2
-88.206516,44.996575,T1 drying,1,1
-89.534533,45.716176,T1 drying,1,1
-88.464988,44.418226,T1 drying,2,1
-88.464988,44.418226,T2 300C,2,1
-87.847551,43.501807,T1 drying,1,1
-91.83489,44.627436,T1 drying,1,1
-92.426279,44.725336,T1 drying,2,1
-92.426279,44.725336,T2 300C,2,1
-92.447066,45.462041,T1 drying,1,3
-92.447066,45.462041,T2 300C,1,2
-89.49807,44.476246,T1 drying,1,2
-90.35965,45.679072,T1 drying,1,3
-90.35965,45.679072,T2 300C,1,1
-87.771599,42.780392,T1 drying,1,3
-87.771599,42.780392,T2 300C,1,1
-90.435693,43.376199,T1 drying,1,1
-89.075284,42.66988,T1 drying,1,2
-89.075284,42.66988,T1 drying,2,1
-89.075284,42.66988,T2 300C,2,1
-91.136745,45.472734,T1 drying,1,1
-92.447284,45.028959,T1 drying,1,2
-92.447284,45.028959,T1 drying,2,1
-92.447284,45.028959,T1 drying,1,1
-92.447284,45.028959,T2 300C,2,1
-89.943318,43.428001,T1 drying,1,2
-91.147063,45.864999,T1 drying,1,2
-91.147063,45.864999,T2 300C,1,1
-88.755813,44.789641,T1 drying,2,1
-88.755813,44.789641,T2 300C,2,1
-87.731516,43.741232,T1 drying,2,1
-87.731516,43.741232,T2 300C,2,1
-90.504853,45.211656,T1 drying,1,1
-90.504853,45.211656,T1 drying,1,2
-90.504853,45.211656,T2 300C,2,1
-91.358867,44.30305,T1 drying,1,3
-91.358867,44.30305,T2 300C,1,1
-90.821983,43.599366,T1 drying,1,1
-90.821983,43.599366,T2 300C,1,1
-89.501254,46.049848,T1 drying,1,1
-88.541731,42.66811,T1 drying,2,1
-88.541731,42.66811,T2 300C,2,1
-91.796422,45.892489,T1 drying,1,1
-91.796422,45.892489,T1 drying,1,1
-88.232917,43.391156,T1 drying,1,1
-88.30424,43.018368,T1 drying,1,1
-88.967005,44.478004,T1 drying,1,1
-89.239786,44.112823,T1 drying,2,1
-89.239786,44.112823,T2 300C,2,1
-88.668149,44.085707,T1 drying,1,2
-90.038825,44.461413,T1 drying,1,2
-90.038825,44.461413,T2 300C,1,1
