experiment,instrument,key,credit_rev,tax,allowance,surplus,net,cc
S0 baseline,none,--,0.0,0.0,0.0,708.25,-1.595,0.0
B1 gross cap,cap,501 kt,0.0,0.0,0.0,451.41939394837175,,
B1 gross cap,cap,602 kt,0.0,0.0,0.0,511.44257190182304,,
B1 gross cap,cap,702 kt,0.0,0.0,0.0,567.3388510585481,,
B1 gross cap,cap,752 kt,0.0,0.0,0.0,593.8982762748014,,
B1 gross cap,cap,802 kt,0.0,0.0,0.0,619.3566094430446,,
B1 gross cap,cap,852 kt,0.0,0.0,0.0,643.919476793375,,
B1 gross cap,cap,903 kt,0.0,0.0,0.0,667.4733101150243,,
B1 gross cap,cap,953 kt,0.0,0.0,0.0,689.5183092187439,,
B1 gross cap,cap,983 kt,0.0,0.0,0.0,701.2691398974242,,
B1 gross cap,cap,1003 kt,0.0,0.0,0.0,708.3026833049092,,
B1 gross cap,cap,1023 kt,0.0,0.0,0.0,708.3026833049092,,
B1 gross cap,cap,1053 kt,0.0,0.0,0.0,708.3026833049092,,
B2 net cap,net cap,-1600 kt,0.0,0.0,0.0,708.4573673568159,-1.600000000000001,
B2 net cap,net cap,-1700 kt,0.0,0.0,0.0,697.4555305414515,-1.6999999999999882,
B2 net cap,net cap,-1800 kt,0.0,0.0,0.0,685.9698725029017,-1.7999999999999947,
B2 net cap,net cap,-1900 kt,0.0,0.0,0.0,653.5811667388839,-1.9000110551550167,
B2 net cap,net cap,-2000 kt,0.0,0.0,0.0,620.3874609608666,-2.0000000000000235,
B2 net cap,net cap,-2100 kt,0.0,0.0,0.0,605.8154995050688,-2.0999999999999908,
B2 net cap,net cap,-2200 kt,0.0,0.0,0.0,579.8960605780196,-2.200000000000145,
C1 tiered tax,tax,25/50/100,0.0,-55.1529136238793,0.0,653.1493734420262,,
C1 tiered tax,tax,50/100/200,0.0,-110.29897786449146,0.0,597.9994213784128,,
C1 tiered tax,tax,25/25/25,0.0,-25.06982314304243,0.0,683.2328601618668,,
C3 allocation,allowance,"grandfather, 30 USD/t",0.0,0.0,0.0,708.3026833049089,,
C3 allocation,allowance,"grandfather, 80 USD/t",0.0,0.0,0.0069729081412553,708.302844898556,,
C3 allocation,allowance,"benchmark, 30 USD/t",0.0,0.0,0.0,708.3026833049096,,
C3 allocation,allowance,"benchmark, 80 USD/t",0.0,0.0,0.0017320390747785,708.3026965488773,,
A baseline-credit,credit,0 USD/t,0.0,0.0,0.0,708.5712809116363,-1.5952608319673014,10.772557273262692
A baseline-credit,credit,25 USD/t,305.4222529014033,0.0,0.0,988.465594510389,-1.7851356071268387,12.216890116056158
A baseline-credit,credit,50 USD/t,672.6573889448842,0.0,0.0,1321.0760547770976,-1.94644868883731,13.453147778897684
A baseline-credit,credit,100 USD/t,1356.455811692951,0.0,0.0,2004.026783231916,-1.962134685673841,13.564558116929517
A baseline-credit,credit,150 USD/t,2034.76279754058,0.0,0.0,2682.637688470512,-1.9629972764778865,13.565085316936846
A baseline-credit,credit,200 USD/t,2713.017310837139,0.0,0.0,3360.919920131447,-1.9629886360468376,13.56508655418575
C2 tax + gated credit,tax + credit,50 USD/t,2.031597708415045e-11,-55.13913159561849,0.0,653.2923486234926,-1.5952475141343354,3.8644971900101284e-13
C2 tax + gated credit,tax + credit,100 USD/t,363.0395803180635,-74.9586870778979,0.0,771.6686384190713,-2.545846138699882,3.6303958031806336
C2 tax + gated credit,tax + credit,150 USD/t,544.9296813518172,-74.99512407745215,0.0,955.3229993992502,-2.5480333984726826,3.632864542345442
C2 tax + gated credit,tax + credit,200 USD/t,727.8447654641182,-75.15611609985253,0.0,1138.3095212188737,-2.552980142263956,3.63922382732059
