row,seg,node,margin,e_d,tau,route
74,M,2,156.3,487.111,0.3,"T1:2.87, T14:2.63"
76,M,4,155.15,488.415,0.3,"T1:2.87, T14:2.63"
79,M,7,163.41,479.096,0.3,"T1:2.87, T14:2.63"
88,M,16,157.67,485.577,0.3,"T1:2.87, T14:2.63"
91,M,19,164.61,477.999,0.3,"T1:2.87, T14:2.63"
93,M,21,166.36,475.777,0.3,"T1:2.87, T14:2.63"
98,M,26,158.61,484.51,0.3,"T1:2.87, T14:2.63"
116,M,44,165.17,477.119,0.3,"T1:2.87, T14:2.63"
123,M,51,163.95,478.486,0.3,"T1:2.87, T14:2.63"
127,M,55,165.23,477.047,0.3,"T1:2.87, T14:2.63"
130,M,58,161.81,480.908,0.3,"T1:2.87, T14:2.63"
136,M,64,162.33,480.317,0.3,"T1:2.87, T14:2.63"
138,M,66,162.37,480.269,0.3,"T1:2.87, T14:2.63"
73,M,1,179.57,460.874,0.4,"T1:2.87, T14:2.63"
75,M,3,169.94,475.685,0.4,"T1:2.87, T14:2.63"
77,M,5,176.47,464.626,0.4,"T1:2.87, T14:2.63"
78,M,6,169.52,472.209,0.4,"T1:2.87, T14:2.63"
80,M,8,179.95,460.706,0.4,"T1:2.87, T14:2.63"
81,M,9,172.44,472.868,0.4,"T1:2.87, T14:2.63"
82,M,10,175.87,468.999,0.4,"T1:2.87, T14:2.63"
83,M,11,184.3,455.542,0.4,"T1:2.87, T14:2.63"
84,M,12,180.65,459.656,0.4,"T1:2.87, T14:2.63"
85,M,13,191.44,451.436,0.4,"T1:2.87, T14:2.63"
86,M,14,189.68,453.427,0.4,"T1:2.87, T14:2.63"
87,M,15,171.24,470.526,0.4,"T1:2.87, T14:2.63"
89,M,17,174.3,470.767,0.4,"T1:2.87, T14:2.63"
90,M,18,170.94,470.61,0.4,"T1:2.87, T14:2.63"
92,M,20,186.84,456.877,0.4,"T1:2.87, T14:2.63"
94,M,22,187.82,455.522,0.4,"T1:2.87, T14:2.63"
95,M,23,188.16,451.191,0.4,"T1:2.87, T14:2.63"
96,M,24,182.61,457.448,0.4,"T1:2.87, T14:2.63"
97,M,25,184.44,455.392,0.4,"T1:2.87, T14:2.63"
99,M,27,179.16,465.285,0.4,"T1:2.87, T14:2.63"
100,M,28,193.01,449.676,0.4,"T1:2.87, T14:2.63"
101,M,29,179.03,461.485,0.4,"T1:2.87, T14:2.63"
102,M,30,187.0,452.503,0.4,"T1:2.87, T14:2.63"
103,M,31,179.75,464.87,0.4,"T1:2.87, T14:2.63"
104,M,32,174.7,466.37,0.4,"T1:2.87, T14:2.63"
105,M,33,191.01,451.927,0.4,"T1:2.87, T14:2.63"
106,M,34,169.78,471.92,0.4,"T1:2.87, T14:2.63"
107,M,35,168.02,473.897,0.4,"T1:2.87, T14:2.63"
108,M,36,179.38,461.341,0.4,"T1:2.87, T14:2.63"
109,M,37,175.2,469.754,0.4,"T1:2.87, T14:2.63"
110,M,38,168.83,473.244,0.4,"T1:2.87, T14:2.63"
111,M,39,181.2,459.045,0.4,"T1:2.87, T14:2.63"
112,M,40,172.29,469.092,0.4,"T1:2.87, T14:2.63"
113,M,41,186.45,453.123,0.4,"T1:2.87, T14:2.63"
114,M,42,176.94,463.844,0.4,"T1:2.87, T14:2.63"
115,M,43,172.15,469.501,0.4,"T1:2.87, T14:2.63"
117,M,45,181.04,463.414,0.4,"T1:2.87, T14:2.63"
118,M,46,182.71,457.34,0.4,"T1:2.87, T14:2.63"
119,M,47,169.64,472.079,0.4,"T1:2.87, T14:2.63"
120,M,48,176.98,467.748,0.4,"T1:2.87, T14:2.63"
121,M,49,170.54,475.005,0.4,"T1:2.87, T14:2.63"
122,M,50,175.69,465.254,0.4,"T1:2.87, T14:2.63"
124,M,52,191.27,451.639,0.4,"T1:2.87, T14:2.63"
125,M,53,180.8,459.494,0.4,"T1:2.87, T14:2.63"
126,M,54,195.13,447.284,0.4,"T1:2.87, T14:2.63"
128,M,56,174.38,470.676,0.4,"T1:2.87, T14:2.63"
129,M,57,183.27,456.71,0.4,"T1:2.87, T14:2.63"
131,M,59,177.66,466.978,0.4,"T1:2.87, T14:2.63"
132,M,60,186.7,457.033,0.4,"T1:2.87, T14:2.63"
133,M,61,171.71,473.688,0.4,"T1:2.87, T14:2.63"
134,M,62,172.1,469.305,0.4,"T1:2.87, T14:2.63"
135,M,63,177.99,462.662,0.4,"T1:2.87, T14:2.63"
137,M,65,194.89,447.554,0.4,"T1:2.87, T14:2.63"
139,M,67,184.65,455.151,0.4,"T1:2.87, T14:2.63"
140,M,68,187.91,451.477,0.4,"T1:2.87, T14:2.63"
141,M,69,176.7,464.115,0.4,"T1:2.87, T14:2.63"
142,M,70,182.82,461.164,0.4,"T1:2.87, T14:2.63"
143,M,71,180.34,460.012,0.4,"T1:2.87, T14:2.63"
144,M,72,174.92,466.123,0.4,"T1:2.87, T14:2.63"
2,H,2,456.3,487.111,0.9,"T1:2.87, T14:2.63"
4,H,4,455.15,488.415,0.9,"T1:2.87, T14:2.63"
16,H,16,457.67,485.577,0.9,"T1:2.87, T14:2.63"
26,H,26,458.61,484.51,0.9,"T1:2.87, T14:2.63"
1,H,1,479.57,460.874,1.0,"T1:2.87, T14:2.63"
3,H,3,469.94,475.685,1.0,"T1:2.87, T14:2.63"
5,H,5,476.47,464.626,1.0,"T1:2.87, T14:2.63"
6,H,6,469.52,472.209,1.0,"T1:2.87, T14:2.63"
7,H,7,463.41,479.096,1.0,"T1:2.87, T14:2.63"
8,H,8,479.95,460.706,1.0,"T1:2.87, T14:2.63"
9,H,9,472.44,472.868,1.0,"T1:2.87, T14:2.63"
10,H,10,475.87,468.999,1.0,"T1:2.87, T14:2.63"
12,H,12,480.65,459.656,1.0,"T1:2.87, T14:2.63"
15,H,15,471.24,470.526,1.0,"T1:2.87, T14:2.63"
17,H,17,474.3,470.767,1.0,"T1:2.87, T14:2.63"
18,H,18,470.94,470.61,1.0,"T1:2.87, T14:2.63"
19,H,19,464.61,477.999,1.0,"T1:2.87, T14:2.63"
21,H,21,466.36,475.777,1.0,"T1:2.87, T14:2.63"
27,H,27,479.16,465.285,1.0,"T1:2.87, T14:2.63"
29,H,29,479.03,461.485,1.0,"T1:2.87, T14:2.63"
31,H,31,479.75,464.87,1.0,"T1:2.87, T14:2.63"
32,H,32,474.7,466.37,1.0,"T1:2.87, T14:2.63"
34,H,34,469.78,471.92,1.0,"T1:2.87, T14:2.63"
35,H,35,468.02,473.897,1.0,"T1:2.87, T14:2.63"
36,H,36,479.38,461.341,1.0,"T1:2.87, T14:2.63"
37,H,37,475.2,469.754,1.0,"T1:2.87, T14:2.63"
38,H,38,468.83,473.244,1.0,"T1:2.87, T14:2.63"
39,H,39,481.2,459.045,1.0,"T1:2.87, T14:2.63"
40,H,40,472.29,469.092,1.0,"T1:2.87, T14:2.63"
42,H,42,476.94,463.844,1.0,"T1:2.87, T14:2.63"
43,H,43,472.15,469.501,1.0,"T1:2.87, T14:2.63"
