case,profit_M,bc_Mt,ghg_Mt,status
baseline,708.3026833049092,2.3000000099999998,-1.5951027209433022,OPTIMAL
farmgate -20%,772.7220587261438,2.3000000099999998,-1.5951016544795513,OPTIMAL
farmgate +20%,643.8834739680675,2.3000000099999998,-1.5951027209433022,OPTIMAL
farmgate +100%,386.2066366206996,2.3000000099999998,-1.5951027209433022,OPTIMAL
transport -20%,715.621432582651,2.3000000099999998,-1.5951027209433022,OPTIMAL
transport +20%,700.983934027168,2.3000000099999998,-1.5951027209433022,OPTIMAL
demand cap -20%,558.97589996017,1.8476232887950004,-1.2895889496584567,OPTIMAL
demand cap +20%,761.8185269673478,2.3011972413833326,-1.601247664512707,OPTIMAL
demand price -20%,430.3026811049106,2.3000000099999998,-1.5951027209433022,OPTIMAL
demand price +20%,986.30268550491,2.3000000099999998,-1.5951027209433022,OPTIMAL
sink $0,708.3026833049092,2.3000000099999998,-1.5951027209433022,OPTIMAL
sink $60,708.3026833049092,2.3000000099999998,-1.5951027209433022,OPTIMAL
supply cap -40%,505.8692198172653,1.4756632609400007,-1.024248111002759,OPTIMAL
