node,product,inherent_value
1,1,56.918164293275126
1,2,45.773565359577944
1,3,-0.0
1,4,-0.0
1,5,-0.0
1,6,-0.0
1,7,-0.0
1,8,-0.0
1,9,-0.0
1,10,3.583322788650051
1,11,-0.0
1,12,-0.0
1,13,-0.0
2,1,34.25813261570319
2,2,33.56581652930281
2,3,-0.0
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,-0.0
2,8,-0.0
2,9,-0.0
2,10,23.0
2,11,-0.0
2,12,-0.0
2,13,-0.0
3,1,57.210509070267065
3,2,65.0088126297165
3,3,-0.0
3,4,-0.0
3,5,-0.0
3,6,-0.0
3,7,-0.0
3,8,-0.0
3,9,-0.0
3,10,18.838227698339804
3,11,-0.0
3,12,-0.0
3,13,-0.0
4,1,35.449883226593805
4,2,39.56599205234407
4,3,-0.0
4,4,-0.0
4,5,-0.0
4,6,-0.0
4,7,-0.0
4,8,-0.0
4,9,-0.0
4,10,23.0
4,11,-0.0
4,12,-0.0
4,13,-0.0
5,1,60.034517995428644
5,2,26.479025870444318
5,3,-0.0
5,4,-0.0
5,5,-0.0
5,6,-0.0
5,7,-0.0
5,8,-0.0
5,9,-0.0
5,10,9.934798420579034
5,11,-0.0
5,12,-0.0
5,13,-0.0
6,1,61.6083358564676
6,2,47.12359189860168
6,3,-0.0
6,4,-0.0
6,5,-0.0
6,6,-0.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,4.716402780781674
6,11,-0.0
6,12,-0.0
6,13,-0.0
7,1,57.37162604825782
7,2,51.6
7,3,-0.0
7,4,-0.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
7,8,-0.0
7,9,-0.0
7,10,28.521098364062304
7,11,-0.0
7,12,-0.0
7,13,-0.0
8,1,56.73731041146826
8,2,27.38182295604291
8,3,-0.0
8,4,-0.0
8,5,-0.0
8,6,-0.0
8,7,-0.0
8,8,-0.0
8,9,-0.0
8,10,3.685560991913146
8,11,-0.0
8,12,-0.0
8,13,-0.0
9,1,65.08421470084556
9,2,63.72186874556814
9,3,-0.0
9,4,-0.0
9,5,-0.0
9,6,-0.0
9,7,-0.0
9,8,-0.0
9,9,-0.0
9,10,17.341389885457033
9,11,-0.0
9,12,-0.0
9,13,-0.0
10,1,58.68979206832791
10,2,66.02337381283556
10,3,-0.0
10,4,-0.0
10,5,-0.0
10,6,-0.0
10,7,-0.0
10,8,-0.0
10,9,-0.0
10,10,23.0
10,11,-0.0
10,12,-0.0
10,13,-0.0
11,1,56.487638735907055
11,2,31.884808559392567
11,3,-0.0
11,4,-0.0
11,5,-0.0
11,6,-0.0
11,7,-0.0
11,8,-0.0
11,9,-0.0
11,10,-0.0
11,11,-0.0
11,12,-0.0
11,13,-0.0
12,1,49.5
12,2,32.73709791112524
12,3,-0.0
12,4,-0.0
12,5,-0.0
12,6,-0.0
12,7,-0.0
12,8,-0.0
12,9,-0.0
12,10,-0.0
12,11,-0.0
12,12,-0.0
12,13,-0.0
13,1,67.31592235081604
13,2,26.616635831903274
13,3,-0.0
13,4,-0.0
13,5,-0.0
13,6,-0.0
13,7,-0.0
13,8,-0.0
13,9,-0.0
13,10,-0.0
13,11,-0.0
13,12,-0.0
13,13,-0.0
14,1,67.81573114573624
14,2,26.30515907339396
14,3,-0.0
14,4,-0.0
14,5,-0.0
14,6,-0.0
14,7,-0.0
14,8,-0.0
14,9,-0.0
14,10,-0.0
14,11,-0.0
14,12,-0.0
14,13,-0.0
15,1,54.49713714075079
15,2,15.269294822302268
15,3,-0.0
15,4,-0.0
15,5,-0.0
15,6,-0.0
15,7,-0.0
15,8,-0.0
15,9,-0.0
15,10,8.329419741032286
15,11,-0.0
15,12,-0.0
15,13,-0.0
16,1,46.2813885779898
16,2,43.88932450721818
16,3,-0.0
16,4,-0.0
16,5,-0.0
16,6,-0.0
16,7,-0.0
16,8,-0.0
16,9,-0.0
16,10,32.84497601889226
16,11,-0.0
16,12,-0.0
16,13,-0.0
17,1,69.39094306110668
17,2,58.24361914591747
17,3,-0.0
17,4,-0.0
17,5,-0.0
17,6,-0.0
17,7,-0.0
17,8,-0.0
17,9,-0.0
17,10,11.776224162409605
17,11,-0.0
17,12,-0.0
17,13,-0.0
18,1,70.7079927908732
18,2,54.00517309029026
18,3,-0.0
18,4,-0.0
18,5,-0.0
18,6,-0.0
18,7,-0.0
18,8,-0.0
18,9,-0.0
18,10,11.717611795429388
18,11,-0.0
18,12,-0.0
18,13,-0.0
19,1,44.98955871684207
19,2,25.816671541637074
