node,product,inherent_value
1,1,55.34404305110702
1,2,-0.0
1,3,-0.0
1,4,-0.0
1,5,-0.0
1,6,-0.0
1,7,-0.0
1,8,-0.0
1,9,-0.0
1,10,-0.0
1,11,-0.0
1,12,-0.0
1,13,-0.0
2,1,32.949057616733775
2,2,-0.0
2,3,-0.0
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,-0.0
2,8,-0.0
2,9,-0.0
2,10,23.0
2,11,-0.0
2,12,-0.0
2,13,-0.0
3,1,64.39205371714748
3,2,-0.0
3,3,-0.0
3,4,-0.0
3,5,-0.0
3,6,-0.0
3,7,-0.0
3,8,-0.0
3,9,-0.0
3,10,1.100804845729865
3,11,-0.0
3,12,-0.0
3,13,-0.0
4,1,38.949233139775046
4,2,-0.0
4,3,-0.0
4,4,-0.0
4,5,-0.0
4,6,-0.0
4,7,-0.0
4,8,-0.0
4,9,-0.0
4,10,23.0
4,11,-0.0
4,12,-0.0
4,13,-0.0
5,1,55.55947891945858
5,2,-0.0
5,3,-0.0
5,4,-0.0
5,5,-0.0
5,6,-0.0
5,7,-0.0
5,8,-0.0
5,9,-0.0
5,10,-0.0
5,11,-0.0
5,12,-0.0
5,13,-0.0
6,1,65.7674465861705
6,2,-0.0
6,3,-0.0
6,4,-0.0
6,5,-0.0
6,6,-0.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,-0.0
6,11,-0.0
6,12,-0.0
6,13,-0.0
7,1,50.98324108743098
7,2,-0.0
7,3,-0.0
7,4,-0.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
7,8,-0.0
7,9,-0.0
7,10,0.16282657274487278
7,11,-0.0
7,12,-0.0
7,13,-0.0
8,1,54.669871843336935
8,2,-0.0
8,3,-0.0
8,4,-0.0
8,5,-0.0
8,6,-0.0
8,7,-0.0
8,8,-0.0
8,9,-0.0
8,10,-0.0
8,11,-0.0
8,12,-0.0
8,13,-0.0
9,1,62.94157329196236
9,2,-0.0
9,3,-0.0
9,4,-0.0
9,5,-0.0
9,6,-0.0
9,7,-0.0
9,8,-0.0
9,9,-0.0
9,10,4.1448324783723365
9,11,-0.0
9,12,-0.0
9,13,-0.0
10,1,53.177587436072145
10,2,-0.0
10,3,-0.0
10,4,-0.0
10,5,-0.0
10,6,-0.0
10,7,-0.0
10,8,-0.0
10,9,-0.0
10,10,3.0525266075522524
10,11,-0.0
10,12,-0.0
10,13,-0.0
11,1,54.05779865465965
11,2,-0.0
11,3,-0.0
11,4,-0.0
11,5,-0.0
11,6,-0.0
11,7,-0.0
11,8,-0.0
11,9,-0.0
11,10,-0.0
11,11,-0.0
11,12,-0.0
11,13,-0.0
12,1,54.81144830724979
12,2,-0.0
12,3,-0.0
12,4,-0.0
12,5,-0.0
12,6,-0.0
12,7,-0.0
12,8,-0.0
12,9,-0.0
12,10,-0.0
12,11,-0.0
12,12,-0.0
12,13,-0.0
13,1,63.665155489840956
13,2,-0.0
13,3,-0.0
13,4,-0.0
13,5,-0.0
13,6,-0.0
13,7,-0.0
13,8,-0.0
13,9,-0.0
13,10,-0.0
13,11,-0.0
13,12,-0.0
13,13,-0.0
14,1,65.7009689668947
14,2,-0.0
14,3,-0.0
14,4,-0.0
14,5,-0.0
14,6,-0.0
14,7,-0.0
14,8,-0.0
14,9,-0.0
14,10,-0.0
14,11,-0.0
14,12,-0.0
14,13,-0.0
15,1,50.02209806478073
15,2,-0.0
15,3,-0.0
15,4,-0.0
15,5,-0.0
15,6,-0.0
15,7,-0.0
15,8,-0.0
15,9,-0.0
15,10,-0.0
15,11,-0.0
15,12,-0.0
15,13,-0.0
16,1,43.27256559464915
16,2,-0.0
16,3,-0.0
16,4,-0.0
16,5,-0.0
16,6,-0.0
16,7,-0.0
16,8,-0.0
16,9,-0.0
16,10,10.314539327563018
16,11,-0.0
16,12,-0.0
16,13,-0.0
17,1,66.54172514886365
17,2,-0.0
17,3,-0.0
17,4,-0.0
17,5,-0.0
17,6,-0.0
17,7,-0.0
17,8,-0.0
17,9,-0.0
17,10,-0.0
17,11,-0.0
17,12,-0.0
17,13,-0.0
18,1,58.87747610218962
18,2,-0.0
18,3,-0.0
