node,product,inherent_value
1,1,45.30320965631035
1,2,-0.0
1,3,-0.0
1,4,-0.0
1,5,-0.0
1,6,14.535726617987134
1,7,42.84690388664781
1,8,-0.0
1,9,-0.0
1,10,-0.0
1,11,-0.0
1,12,-0.0
1,13,-0.0
2,1,29.7456369434502
2,2,-0.0
2,3,-0.0
2,4,-0.0
2,5,-0.0
2,6,29.85741915879815
2,7,37.423974182049605
2,8,-0.0
2,9,-0.0
2,10,-0.0
2,11,-0.0
2,12,-0.0
2,13,-0.0
3,1,54.123845637926685
3,2,-0.0
3,3,-0.0
3,4,-0.0
3,5,-0.0
3,6,40.10017731601239
3,7,51.0
3,8,-0.0
3,9,-0.0
3,10,-0.0
3,11,-0.0
3,12,-0.0
3,13,-0.0
4,1,29.132440871433374
4,2,-0.0
4,3,-0.0
4,4,-0.0
4,5,-0.0
4,6,29.12196675233833
4,7,36.688521775589784
4,8,-0.0
4,9,-0.0
4,10,-0.0
4,11,-0.0
4,12,-0.0
4,13,-0.0
5,1,43.7158512553462
5,2,-0.0
5,3,-0.0
5,4,-0.0
5,5,-0.0
5,6,3.613081875505806
5,7,49.00394105058767
5,8,-0.0
5,9,-0.0
5,10,-0.0
5,11,-0.0
5,12,-0.0
5,13,-0.0
6,1,49.5
6,2,-0.0
6,3,-0.0
6,4,-0.0
6,5,-0.0
6,6,28.925670636522153
6,7,44.07499358251421
6,8,-0.0
6,9,-0.0
6,10,-0.0
6,11,-0.0
6,12,-0.0
6,13,-0.0
7,1,44.86548754786048
7,2,-0.0
7,3,-0.0
7,4,-0.0
7,5,-0.0
7,6,32.63336204435651
7,7,51.0
7,8,-0.0
7,9,-0.0
7,10,-0.0
7,11,-0.0
7,12,-0.0
7,13,-0.0
8,1,44.060042528315385
8,2,-0.0
8,3,-0.0
8,4,-0.0
8,5,-0.0
8,6,-0.0
8,7,43.25584041240234
8,8,-0.0
8,9,-0.0
8,10,-0.0
8,11,-0.0
8,12,-0.0
8,13,-0.0
9,1,63.33756004345454
9,2,-0.0
9,3,-0.0
9,4,-0.0
9,5,-0.0
9,6,41.55065774119751
9,7,51.0
9,8,-0.0
9,9,-0.0
9,10,-0.0
9,11,-0.0
9,12,-0.0
9,13,-0.0
10,1,53.75970495017136
10,2,-0.0
10,3,-0.0
10,4,-0.0
10,5,-0.0
