node,tech,scale,count
3,1,2,1
3,7,1,1
7,7,1,2
7,20,1,1
9,1,3,1
9,7,1,1
9,14,3,1
10,1,2,1
10,7,3,1
10,20,3,1
13,1,1,2
13,1,3,1
13,14,3,1
14,1,3,1
14,14,3,1
17,1,2,2
17,14,2,1
20,1,2,2
20,14,3,1
22,1,1,2
22,1,2,1
22,14,2,1
23,1,1,2
23,1,2,1
23,14,2,1
24,1,1,1
24,1,2,1
25,1,1,1
25,1,2,1
25,14,2,1
27,1,2,1
27,14,2,1
28,1,2,2
31,1,1,2
31,14,1,1
32,1,1,1
33,1,1,1
33,1,2,1
33,14,2,1
34,7,1,1
35,7,1,1
37,1,2,1
37,7,3,1
37,20,3,1
43,7,1,2
43,7,2,1
43,20,2,1
47,1,1,2
48,1,2,1
49,1,2,1
49,14,1,2
50,1,1,1
54,1,3,1
54,14,3,1
55,6,1,2
55,7,1,1
55,7,2,1
55,19,1,1
55,20,2,1
56,1,1,1
56,1,2,2
56,14,3,1
59,7,2,1
59,20,2,1
60,1,2,1
62,1,2,1
62,14,2,1
65,1,1,2
65,1,2,1
65,14,2,1
67,1,2,1
69,1,1,2
69,1,2,1
69,14,2,1
70,1,2,1
70,14,2,1
71,1,1,2
71,1,2,1
71,14,2,1
72,1,2,1
72,14,2,1
