node,product,inherent_value
1,1,120.05925360019405
1,2,110.62656731128851
1,3,113.07128672753566
1,4,-0.0
1,5,-0.0
1,6,-0.0
1,7,-0.0
1,8,-0.0
1,9,-0.0
1,10,36.10005620400729
1,11,42.93026627162675
1,12,62.1991528773417
1,13,51.2234170045664
2,1,96.5961812901293
2,2,96.38788227194684
2,3,67.47903016394824
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,-0.0
2,8,-0.0
2,9,-0.0
2,10,42.1994591811754
2,11,47.45048108162615
2,12,53.5648670517404
2,13,35.35857624999035
3,1,125.15920826745814
3,2,127.83087837236054
3,3,76.12182878900197
3,4,-0.0
3,5,-0.0
3,6,-0.0
3,7,-0.0
3,8,-0.0
3,9,-0.0
3,10,38.18052820937059
3,11,44.28622677636556
3,12,85.0078631521541
3,13,42.84882278801528
4,1,99.71638769008571
4,2,102.38805779498811
4,3,63.85852669764187
4,4,-0.0
4,5,-0.0
4,6,-0.0
4,7,-0.0
4,8,-0.0
4,9,-0.0
4,10,32.30262363191767
4,11,57.34731663088388
4,12,59.56504257478167
4,13,25.57624621374749
5,1,123.17560730234756
5,2,106.5149163468844
5,3,109.91401315386007
5,4,-0.0
5,5,-0.0
5,6,-0.0
5,7,-0.0
5,8,-0.0
5,9,-0.0
5,10,29.133804382905495
5,11,24.809067596335836
5,12,42.90461338820808
5,13,38.1248009979363
6,1,125.33889884491441
6,2,119.70405518046974
6,3,86.48077176752336
6,4,-0.0
6,5,-0.0
6,6,-0.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,20.111615876028985
6,11,30.619201361474566
6,12,63.54917941636544
6,13,45.96669213582339
7,1,111.75039563774165
7,2,114.42206574264405
7,3,66.70266550920442
7,4,-0.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
7,8,-0.0
7,9,-0.0
7,10,44.7435409961017
7,11,50.92007548799358
7,12,71.59905052243761
7,13,33.479001706215264
8,1,119.87839971838714
8,2,111.83454929318732
8,3,112.84926033171456
8,4,-0.0
8,5,-0.0
8,6,-0.0
8,7,-0.0
8,8,-0.0
8,9,-0.0
8,10,24.414745332461955
8,11,20.19914293769966
8,12,43.80741047380666
8,13,41.824509711266316
9,1,123.70872784227302
9,2,114.75389116331496
9,3,89.14947380005002
9,4,-0.0
9,5,-0.0
9,6,-0.0
9,7,-0.0
9,8,-0.0
9,9,-0.0
9,10,36.83972115228167
9,11,41.8075652821178
9,12,71.93087594310852
9,13,55.92580999706087
10,1,120.87527562141233
10,2,119.55596502315696
10,3,98.82195807449169
10,4,-0.0
10,5,-0.0
10,6,-0.0
10,7,-0.0
10,8,-0.0
10,9,-0.0
10,10,38.50105462185394
10,11,48.818963643246526
10,12,82.44896133059932
10,13,48.22596561091193
11,1,122.07667135081529
11,2,116.12111706234234
11,3,126.96004352772104
11,4,-0.0
11,5,-0.0
11,6,-0.0
11,7,-0.0
11,8,-0.0
11,9,-0.0
11,10,23.619729856698065
11,11,29.041509471441373
11,12,48.31039607715633
11,13,44.92285901824938
12,1,116.05122539571715
12,2,109.28319111711886
12,3,111.3099110835484
12,4,-0.0
12,5,-0.0
12,6,-0.0
12,7,-0.0
12,8,-0.0
12,9,-0.0
12,10,20.605017648877364
12,11,27.12503580536925
12,12,49.162685428889
12,13,49.153826374927746
13,1,132.90495496572427
13,2,121.77107559772259
13,3,121.1406156034611
13,4,-0.0
13,5,-0.0
13,6,-0.0
13,7,-0.0
13,8,-0.0
13,9,-0.0
13,10,19.089220590357023
13,11,23.23460788470332
13,12,43.04222334966703
13,13,55.751142633158366
14,1,130.9568204526551
14,2,112.22357609188785
14,3,115.31687321548598
14,4,-0.0
14,5,-0.0
14,6,-0.0
14,7,-0.0
14,8,-0.0
14,9,-0.0
14,10,18.929364683656953
14,11,23.202369514351787
14,12,42.73074659115772
14,13,41.16175374908454
15,1,117.63822644766971
15,2,91.97079889251674
15,3,100.35460581104402
15,4,-0.0
15,5,-0.0
15,6,-0.0
15,7,-0.0
15,8,-0.0
15,9,-0.0
15,10,24.459097105372614
15,11,27.51525919611239
15,12,31.694882340066027
15,13,47.69191538435781
16,1,104.03972014495982
16,2,106.71139024986222
16,3,63.068584500002004
16,4,-0.0
16,5,-0.0
16,6,-0.0
16,7,-0.0
16,8,-0.0
16,9,-0.0
16,10,37.3300269549745
16,11,51.36435117174289
16,12,63.888375029655776
16,13,23.35572092013601
17,1,126.6059001293214
17,2,126.2574005441933
17,3,79.45694226011831
17,4,-0.0
17,5,-0.0
17,6,-0.0
17,7,-0.0
17,8,-0.0
17,9,-0.0
17,10,26.000094218530975
17,11,37.53444667492762
17,12,72.82742916131448
17,13,44.406247688013124
18,1,127.92294985908792
18,2,117.58519556145814
18,3,91.57475634918003
18,4,-0.0
18,5,-0.0
18,6,-0.0
18,7,-0.0
18,8,-0.0
