node,tech,scale,count
1,10,1,1
1,11,1,1
2,10,1,3
2,11,1,1
2,23,1,1
3,1,2,1
3,2,1,2
3,10,1,1
3,12,1,1
3,14,2,1
3,15,2,1
4,10,1,2
4,11,1,2
4,23,1,1
4,24,1,1
5,1,2,1
6,1,1,2
6,14,1,1
7,10,1,1
7,11,1,1
7,23,1,1
9,1,1,2
9,1,2,1
9,10,1,1
9,13,1,1
9,14,2,1
10,1,2,1
10,2,1,1
10,10,1,2
10,11,1,1
10,12,1,1
10,14,2,1
10,23,1,1
11,2,1,1
11,3,1,2
11,16,1,1
13,1,3,1
13,2,1,2
13,3,1,1
13,13,1,1
13,14,3,1
13,15,2,1
14,1,3,1
14,14,3,1
15,13,1,1
16,10,1,1
16,11,1,1
17,1,1,2
17,1,2,1
17,2,1,1
17,14,2,1
18,1,1,2
18,14,1,1
19,10,1,1
20,1,1,2
20,1,2,1
20,2,2,1
20,3,1,2
20,14,2,1
20,15,2,1
20,16,1,1
21,10,2,1
21,11,1,1
21,23,2,1
22,1,2,1
22,2,1,2
22,3,1,1
22,14,2,1
22,15,1,1
23,1,2,1
23,2,1,1
24,1,2,1
25,1,2,1
25,16,1,1
26,10,1,1
27,1,2,1
27,11,1,1
27,14,2,1
28,1,1,2
28,1,2,1
28,2,1,1
28,14,2,1
29,1,1,1
29,10,1,1
29,11,1,1
29,23,1,1
30,1,1,3
31,1,2,1
31,14,2,1
32,1,1,1
33,1,2,1
33,2,1,1
33,14,2,1
34,10,1,1
35,10,1,2
35,23,1,1
36,3,1,2
36,16,1,1
37,1,2,1
37,2,1,2
37,10,1,2
37,11,1,1
37,14,2,1
37,15,1,1
37,26,1,1
38,10,1,1
38,11,1,1
42,1,1,3
42,2,1,2
42,10,1,1
42,11,1,1
42,13,1,1
42,14,2,1
42,15,1,1
42,26,1,1
43,1,1,1
43,10,1,2
43,23,1,1
44,10,1,1
44,11,1,1
44,13,1,1
44,24,1,1
45,1,2,1
45,2,1,2
45,14,2,1
45,15,1,1
46,1,1,1
47,1,1,1
48,1,2,1
48,2,1,1
48,14,2,1
49,1,2,1
49,10,1,1
50,1,1,2
50,10,1,1
51,10,1,3
51,11,1,1
51,23,1,1
52,1,1,2
52,2,1,1
53,1,1,1
54,1,1,2
54,1,2,1
54,2,1,1
54,14,2,1
55,10,1,1
55,25,1,1
56,1,1,2
56,1,2,1
56,2,1,1
56,13,1,1
56,14,2,1
57,1,1,2
58,10,1,2
58,11,1,1
58,23,1,1
58,24,1,1
59,1,1,3
59,10,1,1
59,14,2,1
60,1,2,1
60,14,2,1
61,1,1,1
61,10,1,2
61,11,1,1
61,23,1,1
61,24,1,1
62,1,1,2
62,2,1,2
62,15,1,1
63,1,1,1
64,10,1,1
64,11,1,1
65,1,2,1
65,2,1,1
65,14,2,1
66,10,1,1
68,1,1,1
69,1,1,3
70,1,2,1
70,13,1,1
70,14,2,1
71,1,1,2
71,10,1,1
72,1,1,2
72,3,1,1
72,10,1,1
