node,tech,scale,count
3,1,1,3
3,14,2,1
5,1,2,1
5,14,1,1
6,1,1,2
6,14,1,1
9,1,1,2
9,1,2,1
9,14,2,1
10,1,1,1
10,1,2,1
10,14,1,1
10,14,2,1
13,1,3,1
13,14,2,2
14,1,3,1
14,14,3,1
17,1,1,2
17,1,2,1
17,14,2,1
18,1,1,2
18,14,1,1
20,1,1,3
20,1,2,1
20,14,2,1
22,1,2,1
22,14,1,2
23,1,2,1
23,14,1,2
24,1,2,1
24,14,1,2
25,1,2,1
25,14,2,1
27,1,2,1
27,14,1,1
28,1,1,1
28,1,2,1
31,1,1,2
31,14,1,1
37,1,2,1
37,14,1,1
45,1,2,1
45,14,2,1
47,1,1,2
48,1,2,1
48,14,2,1
49,1,2,1
50,1,1,2
54,1,1,2
54,1,2,1
54,14,2,1
56,1,1,2
56,1,2,1
56,14,2,1
57,1,1,2
57,14,1,1
59,1,1,2
59,14,1,1
62,1,1,2
62,14,1,1
65,1,1,2
65,14,1,1
67,1,1,2
70,1,2,1
70,14,2,1
71,1,1,3
72,1,1,2
72,14,1,1
