node,product,inherent_value
1,1,53.08771168426479
1,2,47.88878169671656
1,3,-0.0
1,4,-0.0
1,5,-0.0
1,6,-0.0
1,7,-0.0
1,8,-0.0
1,9,-0.0
1,10,3.583322788650051
1,11,-0.0
1,12,-0.0
1,13,-0.0
2,1,40.13973421236716
2,2,33.56581652930281
2,3,-0.0
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,-0.0
2,8,-0.0
2,9,-0.0
2,10,23.0
2,11,-0.0
2,12,-0.0
2,13,-0.0
3,1,71.58273031278085
3,2,65.0088126297165
3,3,-0.0
3,4,-0.0
3,5,-0.0
3,6,-0.0
3,7,-0.0
3,8,-0.0
3,9,-0.0
3,10,17.583144338032294
3,11,-0.0
3,12,-0.0
3,13,-0.0
4,1,46.13990973540842
4,2,39.56599205234407
4,3,-0.0
4,4,-0.0
4,5,-0.0
4,6,-0.0
4,7,-0.0
4,8,-0.0
4,9,-0.0
4,10,23.0
4,11,-0.0
4,12,-0.0
4,13,-0.0
5,1,57.3645750865753
5,2,41.25045516665722
5,3,-0.0
5,4,-0.0
5,5,-0.0
5,6,-0.0
5,7,-0.0
5,8,-0.0
5,9,-0.0
5,10,0.836963525258998
5,11,-0.0
5,12,-0.0
5,13,-0.0
6,1,63.90789142389087
6,2,60.593936385759534
6,3,-0.0
6,4,-0.0
6,5,-0.0
6,6,-0.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,6.408637658542059
6,11,-0.0
6,12,-0.0
6,13,-0.0
7,1,58.17391768306436
7,2,51.6
7,3,-0.0
7,4,-0.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
7,8,-0.0
7,9,-0.0
7,10,16.098308568474955
7,11,-0.0
7,12,-0.0
7,13,-0.0
8,1,56.45127948374616
8,2,36.38932801691948
8,3,-0.0
8,4,-0.0
8,5,-0.0
8,6,-0.0
8,7,-0.0
8,8,-0.0
8,9,-0.0
8,10,-0.0
8,11,-0.0
8,12,-0.0
8,13,-0.0
9,1,58.50574310373527
9,2,63.55833220453138
9,3,-0.0
9,4,-0.0
9,5,-0.0
9,6,-0.0
9,7,-0.0
9,8,-0.0
9,9,-0.0
9,10,19.033624763217418
9,11,-0.0
9,12,-0.0
9,13,-0.0
10,1,54.93908214149644
10,2,58.415083217347274
10,3,-0.0
10,4,-0.0
10,5,-0.0
10,6,-0.0
10,7,-0.0
10,8,-0.0
10,9,-0.0
10,10,23.0
10,11,-0.0
10,12,-0.0
10,13,-0.0
11,1,57.55152717632593
11,2,34.96541680719341
11,3,-0.0
11,4,-0.0
11,5,-0.0
11,6,-0.0
11,7,-0.0
11,8,-0.0
11,9,-0.0
11,10,-0.0
11,11,-0.0
11,12,-0.0
11,13,-0.0
12,1,50.56388844041891
12,2,39.16238026931745
12,3,-0.0
12,4,-0.0
12,5,-0.0
12,6,-0.0
12,7,-0.0
12,8,-0.0
12,9,-0.0
12,10,-0.0
12,11,-0.0
12,12,-0.0
12,13,-0.0
13,1,68.37981079123492
13,2,28.295377815941748
13,3,-0.0
13,4,-0.0
13,5,-0.0
13,6,-0.0
13,7,-0.0
13,8,-0.0
13,9,-0.0
13,10,-0.0
13,11,-0.0
13,12,-0.0
13,13,-0.0
14,1,67.24645605420307
14,2,31.7424690040595
14,3,-0.0
14,4,-0.0
14,5,-0.0
14,6,-0.0
14,7,-0.0
14,8,-0.0
14,9,-0.0
14,10,-0.0
14,11,-0.0
14,12,-0.0
14,13,-0.0
15,1,51.827194231897444
15,2,27.186421607008356
15,3,-0.0
15,4,-0.0
15,5,-0.0
15,6,-0.0
15,7,-0.0
15,8,-0.0
15,9,-0.0
15,10,-0.0
15,11,-0.0
15,12,-0.0
15,13,-0.0
16,1,50.46324219028253
16,2,43.88932450721818
16,3,-0.0
16,4,-0.0
16,5,-0.0
16,6,-0.0
16,7,-0.0
16,8,-0.0
16,9,-0.0
16,10,26.099751968376204
16,11,-0.0
16,12,-0.0
16,13,-0.0
17,1,68.22989058418644
17,2,59.786809641618774
17,3,-0.0
17,4,-0.0
17,5,-0.0
17,6,-0.0
17,7,-0.0
17,8,-0.0
17,9,-0.0
17,10,13.46845904016999
17,11,-0.0
17,12,-0.0
17,13,-0.0
18,1,59.602337529759836
18,2,53.84163654925351
18,3,-0.0
18,4,-0.0
18,5,-0.0
18,6,-0.0
18,7,-0.0
18,8,-0.0
18,9,-0.0
18,10,13.409846673189772
18,11,-0.0
18,12,-0.0
18,13,-0.0
19,1,44.90435029877378
19,2,36.58121575521747
19,3,-0.0
19,4,-0.0
19,5,-0.0
19,6,-0.0
19,7,-0.0
19,8,-0.0
19,9,-0.0
19,10,13.536364080321379
19,11,-0.0
19,12,-0.0
19,13,-0.0
20,1,57.26691639345116
20,2,34.64615641343159
20,3,-0.0
20,4,-0.0
20,5,-0.0
20,6,-0.0
20,7,-0.0
20,8,-0.0
20,9,-0.0
20,10,-0.0
20,11,-0.0
20,12,-0.0
20,13,-0.0
21,1,48.778839797242455
21,2,46.044851674896094
21,3,-0.0
21,4,-0.0
