node,tech,scale,count
3,1,2,1
9,1,1,2
9,1,2,2
9,14,3,1
10,7,3,1
10,20,3,1
13,1,1,2
13,1,3,1
13,14,3,1
14,1,3,1
14,14,3,1
17,1,2,2
17,14,2,1
18,1,1,3
20,1,2,2
20,14,2,1
23,1,1,2
23,1,2,1
23,14,2,1
24,1,2,1
25,1,1,1
25,1,2,1
25,14,2,1
27,1,1,1
34,7,1,1
35,7,1,1
37,7,3,1
37,20,3,1
38,7,2,1
38,20,2,1
43,7,1,2
43,7,2,1
43,20,2,1
48,1,1,1
48,1,2,1
48,14,2,1
55,6,1,2
55,19,1,1
56,1,1,3
56,1,2,1
56,14,2,1
60,1,1,2
60,1,2,1
60,14,2,1
61,7,1,1
62,1,2,1
62,14,2,1
65,1,1,2
65,1,2,1
65,14,2,1
69,1,1,2
69,1,2,1
69,14,2,1
70,1,2,1
70,14,2,1
71,1,1,2
71,1,2,1
71,14,2,1
