node,tech,scale,count
1,2,1,2
1,15,1,1
2,10,1,3
2,23,1,1
3,1,2,1
3,2,1,1
3,27,2,1
4,10,1,2
4,23,1,1
5,1,2,1
6,1,1,2
6,14,1,1
9,1,1,1
9,1,2,1
9,2,1,1
9,10,1,1
9,14,2,1
10,1,2,1
10,2,1,2
10,10,1,2
10,14,2,1
10,28,1,1
11,2,1,1
11,15,1,1
12,1,1,1
13,1,3,1
13,2,1,1
13,15,1,1
13,27,3,1
14,1,3,1
14,2,1,1
14,14,3,1
16,10,1,1
17,1,1,1
17,1,2,1
17,2,1,1
17,14,2,1
17,28,1,1
18,1,1,2
19,10,1,1
20,1,1,2
20,1,2,1
20,2,1,1
20,27,2,1
21,10,2,1
21,23,1,2
22,1,2,1
22,2,1,2
22,14,2,1
22,28,1,1
23,1,2,1
23,2,1,2
23,15,2,1
24,1,2,1
25,1,2,1
25,14,1,1
26,10,1,1
27,1,2,1
27,14,2,1
28,1,1,1
28,1,2,1
28,2,1,1
28,27,2,1
29,1,1,1
30,1,1,3
30,14,1,1
31,1,2,1
31,14,2,1
32,1,1,1
32,2,1,1
32,15,1,1
33,1,2,1
33,2,1,1
33,27,2,1
34,10,1,1
35,10,1,2
35,23,1,1
37,1,2,1
37,2,1,1
37,10,1,2
37,15,1,1
37,23,1,1
37,27,2,1
38,10,1,1
42,1,1,2
42,14,1,1
43,1,1,1
44,10,1,1
45,1,2,1
45,2,1,1
45,27,2,1
46,1,1,1
47,1,1,1
48,1,2,1
48,2,1,1
48,15,1,1
48,27,2,1
49,1,2,1
49,14,1,1
50,1,1,2
50,10,1,1
51,10,1,3
51,23,1,1
52,1,1,3
52,27,1,1
53,1,1,1
54,1,1,2
54,1,2,1
54,2,1,2
54,14,2,1
55,10,1,1
56,1,1,2
56,1,2,1
56,2,1,1
56,14,2,1
57,1,1,2
57,2,1,1
57,14,1,1
58,10,1,1
58,23,1,1
59,1,2,1
59,2,1,1
59,27,2,1
60,1,2,1
60,14,2,1
61,1,1,1
61,10,1,2
61,23,1,1
62,1,1,2
62,2,1,1
62,14,1,1
63,1,1,1
64,10,1,1
64,23,1,1
65,1,2,1
65,2,1,1
66,10,1,1
67,1,1,3
68,1,1,1
69,1,1,1
70,1,2,1
70,27,2,1
71,1,1,2
72,1,1,2
72,14,1,1
