Scenario,Class,SubClass,Resource,Model,FIPS Code,Price Offered,Production,Production Unit
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01001,48,447.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01001,48,469.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01001,48,522.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01003,48,613.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01003,48,644,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01003,48,716,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01005,48,293.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01005,48,308.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01005,48,342.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01009,48,169.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01009,48,178.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01009,48,198,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01011,48,176.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01011,48,185,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01011,48,205.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01013,48,85.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01013,48,89.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01013,48,99.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01015,48,244.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01015,48,256.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01015,48,285.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01017,48,28,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01017,48,29.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01017,48,32.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01019,48,1567.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01019,48,1644.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01019,48,1828.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01021,48,45.5,dt
