class,subclass,resource,fips,county,state_name,usdaregion,"County Square Miles",model_name,scenario_name,price_offered,production,production_unit,btu_ton,production_energy_content,energy_content_unit,production_density_dtpersqmi,landsource
"agriculture land","Agricultural residues","Barley straw",55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Barley straw",55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Barley straw",55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55093,"Pierce County",Wisconsin,"Lake States",592.73,POLYSYS,emerging,70,7874.00,dt,16660000,131180840000,BTU,13.28,Pasture
"agriculture land","Agricultural residues","Wheat straw",55041,"Forest County",Wisconsin,"Lake States",1046.52,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55119,"Taylor County",Wisconsin,"Lake States",984.56,POLYSYS,"mature-market low",70,19326.00,dt,15722000,303843372000,BTU,19.63,Crop
"agriculture land","Agricultural residues","Oats straw",55013,"Burnett County",Wisconsin,"Lake States",880.22,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Barley straw",55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55069,"Lincoln County",Wisconsin,"Lake States",906.79,POLYSYS,"mature-market medium",70,4573.00,dt,16660000,76186180000,BTU,5.04,Pasture
"agriculture land","Agricultural residues","Barley straw",55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55119,"Taylor County",Wisconsin,"Lake States",984.56,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55069,"Lincoln County",Wisconsin,"Lake States",906.79,POLYSYS,"mature-market high",400,3859.75,dt,23288300,89887015925,BTU,4.26,Crop
"agriculture land","Energy crops, woody",Poplar,55103,"Richland County",Wisconsin,"Lake States",589.3,POLYSYS,emerging,70,489.00,dt,16904000,8266056000,BTU,0.83,Pasture
"agriculture land","Agricultural residues","Corn stover",55081,"Monroe County",Wisconsin,"Lake States",908.08,POLYSYS,"mature-market high",70,107468.00,dt,15722000,1689611896000,BTU,118.35,Crop
"agriculture land","Agricultural residues","Wheat straw",55017,"Chippewa County",Wisconsin,"Lake States",1041.27,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Poplar,55005,"Barron County",Wisconsin,"Lake States",889.76,POLYSYS,emerging,70,4497.00,dt,16904000,76017288000,BTU,5.05,Pasture
"agriculture land","Energy crops, woody",Willow,55103,"Richland County",Wisconsin,"Lake States",589.3,POLYSYS,"mature-market high",70,1073.00,dt,17296000,18558608000,BTU,1.82,Pasture
"agriculture land","Energy crops, woody",Willow,55087,"Outagamie County",Wisconsin,"Lake States",644.61,POLYSYS,"mature-market medium",70,2959.00,dt,17296000,51178864000,BTU,4.59,Pasture
"agriculture land","Agricultural residues","Wheat straw",55053,"Jackson County",Wisconsin,"Lake States",1000.48,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55085,"Oneida County",Wisconsin,"Lake States",1236.57,POLYSYS,"mature-market medium",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55011,"Buffalo County",Wisconsin,"Lake States",709.59,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55005,"Barron County",Wisconsin,"Lake States",889.76,POLYSYS,emerging,70,1527.00,dt,17296000,26410992000,BTU,1.72,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55051,"Iron County",Wisconsin,"Lake States",802.62,POLYSYS,emerging,70,3170.00,dt,16660000,52812200000,BTU,3.95,Pasture
"agriculture land","Agricultural residues","Wheat straw",55083,"Oconto County",Wisconsin,"Lake States",1016.31,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55129,"Washburn County",Wisconsin,"Lake States",853.32,POLYSYS,"mature-market low",70,12487.00,dt,15722000,196320614000,BTU,14.63,Crop
"agriculture land","Agricultural residues","Wheat straw",55083,"Oconto County",Wisconsin,"Lake States",1016.31,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55109,"St. Croix County",Wisconsin,"Lake States",735.19,POLYSYS,"mature-market low",70,246868.00,dt,15722000,3881258696000,BTU,335.79,Crop
"agriculture land","Energy crops, woody",Willow,55055,"Jefferson County",Wisconsin,"Lake States",582.74,POLYSYS,emerging,70,3684.00,dt,17296000,63718464000,BTU,6.32,Pasture
