class,material_class,subclass,resource_name,diacls,owner,fips,county,state,"County Square Miles",scenario_name,scenario_price_offered,production,productionunit,production_energy_content,energy_content_unit,prod_density_dtpersqmi,harvest_costs,harvest_area,harv_area_unit,lipid_based,ash_percentage
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55005,"Barron County",Wisconsin,889.76,Emerging,54,18167.56,dt,331012943200,BTU,20.42,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55005,"Barron County",Wisconsin,889.76,"mature-market high",54,18167.56,dt,331012943200,BTU,20.42,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55005,"Barron County",Wisconsin,889.76,"mature-market low",54,18167.56,dt,331012943200,BTU,20.42,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55005,"Barron County",Wisconsin,889.76,"mature-market medium",54,18167.56,dt,331012943200,BTU,20.42,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55005,"Barron County",Wisconsin,889.76,near-term,54,18167.56,dt,331012943200,BTU,20.42,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55009,"Brown County",Wisconsin,531.24,Emerging,54,8.35,dt,152045900,BTU,0.02,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55009,"Brown County",Wisconsin,531.24,"mature-market high",54,8.35,dt,152045900,BTU,0.02,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55009,"Brown County",Wisconsin,531.24,"mature-market low",54,8.35,dt,152045900,BTU,0.02,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55009,"Brown County",Wisconsin,531.24,"mature-market medium",54,8.35,dt,152045900,BTU,0.02,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55009,"Brown County",Wisconsin,531.24,near-term,54,8.35,dt,152045900,BTU,0.02,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55011,"Buffalo County",Wisconsin,709.59,Emerging,54,2046.87,dt,37293971400,BTU,2.88,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55011,"Buffalo County",Wisconsin,709.59,"mature-market high",54,2046.87,dt,37293971400,BTU,2.88,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55011,"Buffalo County",Wisconsin,709.59,"mature-market low",54,2046.87,dt,37293971400,BTU,2.88,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55011,"Buffalo County",Wisconsin,709.59,"mature-market medium",54,2046.87,dt,37293971400,BTU,2.88,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55011,"Buffalo County",Wisconsin,709.59,near-term,54,2046.87,dt,37293971400,BTU,2.88,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55023,"Crawford County",Wisconsin,599.21,Emerging,54,76.95,dt,1402029000,BTU,0.13,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55023,"Crawford County",Wisconsin,599.21,"mature-market high",54,76.95,dt,1402029000,BTU,0.13,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55023,"Crawford County",Wisconsin,599.21,"mature-market low",54,76.95,dt,1402029000,BTU,0.13,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55023,"Crawford County",Wisconsin,599.21,"mature-market medium",54,76.95,dt,1402029000,BTU,0.13,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55023,"Crawford County",Wisconsin,599.21,near-term,54,76.95,dt,1402029000,BTU,0.13,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55025,"Dane County",Wisconsin,1237.5,Emerging,54,12.75,dt,232213900,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55025,"Dane County",Wisconsin,1237.5,"mature-market high",54,12.75,dt,232213900,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55025,"Dane County",Wisconsin,1237.5,"mature-market low",54,12.75,dt,232213900,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55025,"Dane County",Wisconsin,1237.5,"mature-market medium",54,12.75,dt,232213900,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55025,"Dane County",Wisconsin,1237.5,near-term,54,12.75,dt,232213900,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55057,"Juneau County",Wisconsin,805.17,Emerging,54,1745.23,dt,31797999500,BTU,2.17,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55057,"Juneau County",Wisconsin,805.17,"mature-market high",54,1745.23,dt,31797999500,BTU,2.17,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55057,"Juneau County",Wisconsin,805.17,"mature-market low",54,1745.23,dt,31797999500,BTU,2.17,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55057,"Juneau County",Wisconsin,805.17,"mature-market medium",54,1745.23,dt,31797999500,BTU,2.17,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55057,"Juneau County",Wisconsin,805.17,near-term,54,1745.23,dt,31797999500,BTU,2.17,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55067,"Langlade County",Wisconsin,887.79,Emerging,54,1507.32,dt,27463370400,BTU,1.70,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55067,"Langlade County",Wisconsin,887.79,"mature-market high",54,1507.32,dt,27463370400,BTU,1.70,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55067,"Langlade County",Wisconsin,887.79,"mature-market low",54,1507.32,dt,27463370400,BTU,1.70,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55067,"Langlade County",Wisconsin,887.79,"mature-market medium",54,1507.32,dt,27463370400,BTU,1.70,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55067,"Langlade County",Wisconsin,887.79,near-term,54,1507.32,dt,27463370400,BTU,1.70,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55073,"Marathon County",Wisconsin,1576.33,Emerging,54,675.00,dt,12298500000,BTU,0.43,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55073,"Marathon County",Wisconsin,1576.33,"mature-market high",54,675.00,dt,12298500000,BTU,0.43,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55073,"Marathon County",Wisconsin,1576.33,"mature-market low",54,675.00,dt,12298500000,BTU,0.43,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55073,"Marathon County",Wisconsin,1576.33,"mature-market medium",54,675.00,dt,12298500000,BTU,0.43,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55073,"Marathon County",Wisconsin,1576.33,near-term,54,675.00,dt,12298500000,BTU,0.43,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,Emerging,54,1.40,dt,25416900,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,"mature-market high",54,1.40,dt,25416900,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,"mature-market low",54,1.40,dt,25416900,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,"mature-market medium",54,1.40,dt,25416900,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,near-term,54,1.40,dt,25416900,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55081,"Monroe County",Wisconsin,908.08,Emerging,54,298.41,dt,5436939099,BTU,0.33,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55081,"Monroe County",Wisconsin,908.08,"mature-market high",54,298.41,dt,5436939099,BTU,0.33,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55081,"Monroe County",Wisconsin,908.08,"mature-market low",54,298.41,dt,5436939099,BTU,0.33,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55081,"Monroe County",Wisconsin,908.08,"mature-market medium",54,298.41,dt,5436939099,BTU,0.33,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55081,"Monroe County",Wisconsin,908.08,near-term,54,298.41,dt,5436939099,BTU,0.33,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,Emerging,54,32.20,dt,586684000,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,"mature-market high",54,32.20,dt,586684000,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,"mature-market low",54,32.20,dt,586684000,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,"mature-market medium",54,32.20,dt,586684000,BTU,0.03,0.0,0.0,,No,1.17
