ALL_LIVE_STOCKING,ALL_LIVE_STOCKING,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Total,Total,6815767.353736721,118988386891.98727,652.0,344946.9334433737,5.061013904094859
Overstocked,Total,1118932.3572813293,21577501146.78396,97.0,146892.8219716129,13.12794477840631
Fully stocked,Total,1931741.8524967611,38905271537.53609,210.0,197244.1926585827,10.210691061212248
Medium stocked,Total,2599516.9498502477,40349133961.648384,255.0,200870.93856914292,7.727240962237797
Poorly stocked,Total,1041627.1172574431,18709908261.543846,105.0,136784.16670632552,13.13177858372889
Nonstocked,Total,123949.07685093884,1541333921.936275,15.0,39259.82580114531,31.674157483527832
Unavailable,Total,0.0,0.0,0.0,0.0,0.0
Total,Overstocked,1118932.3572813293,21577501146.78396,97.0,146892.8219716129,13.12794477840631
Total,Fully stocked,1931741.8524967611,38905271537.53609,210.0,197244.1926585827,10.210691061212248
Total,Medium stocked,2599516.9498502477,40349133961.648384,255.0,200870.93856914292,7.727240962237797
Total,Poorly stocked,1041627.1172574431,18709908261.543846,105.0,136784.16670632552,13.13177858372889
Total,Nonstocked,123949.07685093884,1541333921.936275,15.0,39259.82580114531,31.674157483527832
Total,Unavailable,0.0,0.0,0.0,0.0,0.0
Overstocked,Overstocked,1118932.3572813293,21577501146.78396,97.0,146892.8219716129,13.12794477840631
Fully stocked,Fully stocked,1931741.8524967611,38905271537.53609,210.0,197244.1926585827,10.210691061212248
Medium stocked,Medium stocked,2599516.9498502477,40349133961.648384,255.0,200870.93856914292,7.727240962237797
Poorly stocked,Poorly stocked,1041627.1172574431,18709908261.543846,105.0,136784.16670632552,13.13177858372889
Nonstocked,Nonstocked,123949.07685093884,1541333921.936275,15.0,39259.82580114531,31.674157483527832
Unavailable,Unavailable,0.0,0.0,0.0,0.0,0.0
