fips5,county_name,util_practice_desc,v
60,BARRON,GRAIN,62649.0
62,BAYFIELD,GRAIN,2361.0
68,BURNETT,GRAIN,12577.0
72,CHIPPEWA,GRAIN,76231.0
86,DOUGLAS,GRAIN,
150,POLK,GRAIN,53295.0
162,RUSK,GRAIN,16607.0
168,SAWYER,GRAIN,4344.0
184,WASHBURN,GRAIN,10174.0
58,ASHLAND,GRAIN,1796.0
74,CLARK,GRAIN,72540.0
106,IRON,GRAIN,
124,LINCOLN,GRAIN,8577.0
128,MARATHON,GRAIN,83973.0
140,ONEIDA,GRAIN,789.0
154,PRICE,GRAIN,987.0
174,TAYLOR,GRAIN,29157.0
180,VILAS,GRAIN,
92,FLORENCE,GRAIN,28.0
96,FOREST,GRAIN,1158.0
122,LANGLADE,GRAIN,4964.0
130,MARINETTE,GRAIN,26308.0
133,MENOMINEE,GRAIN,
138,OCONTO,GRAIN,37882.0
170,SHAWANO,GRAIN,47021.0
66,BUFFALO,GRAIN,67906.0
88,DUNN,GRAIN,96715.0
90,EAU CLAIRE,GRAIN,39424.0
108,JACKSON,GRAIN,41931.0
118,LA CROSSE,GRAIN,29107.0
136,MONROE,GRAIN,45036.0
146,PEPIN,GRAIN,24979.0
148,PIERCE,GRAIN,62968.0
164,ST CROIX,GRAIN,75875.0
176,TREMPEALEAU,GRAIN,76784.0
56,ADAMS,GRAIN,17314.0
102,GREEN LAKE,GRAIN,37922.0
112,JUNEAU,GRAIN,35912.0
132,MARQUETTE,GRAIN,29837.0
152,PORTAGE,GRAIN,42661.0
190,WAUPACA,GRAIN,46812.0
192,WAUSHARA,GRAIN,32577.0
196,WOOD,GRAIN,33513.0
64,BROWN,GRAIN,28841.0
70,CALUMET,GRAIN,26674.0
84,DOOR,GRAIN,15857.0
94,FOND DU LAC,GRAIN,77484.0
116,KEWAUNEE,GRAIN,31346.0
126,MANITOWOC,GRAIN,32261.0
142,OUTAGAMIE,GRAIN,61934.0
172,SHEBOYGAN,GRAIN,38829.0
194,WINNEBAGO,GRAIN,36112.0
78,CRAWFORD,GRAIN,27904.0
98,GRANT,GRAIN,133321.0
104,IOWA,GRAIN,71969.0
120,LAFAYETTE,GRAIN,101652.0
158,RICHLAND,GRAIN,37546.0
166,SAUK,GRAIN,76306.0
178,VERNON,GRAIN,57581.0
76,COLUMBIA,GRAIN,109266.0
80,DANE,GRAIN,151011.0
82,DODGE,GRAIN,122274.0
100,GREEN,GRAIN,80926.0
110,JEFFERSON,GRAIN,65014.0
160,ROCK,GRAIN,119270.0
114,KENOSHA,GRAIN,22185.0
134,MILWAUKEE,GRAIN,979.0
144,OZAUKEE,GRAIN,7814.0
156,RACINE,GRAIN,31327.0
182,WALWORTH,GRAIN,64506.0
186,WASHINGTON,GRAIN,26273.0
188,WAUKESHA,GRAIN,18031.0
60,BARRON,GRAIN,398.0
62,BAYFIELD,GRAIN,22.0
68,BURNETT,GRAIN,83.0
72,CHIPPEWA,GRAIN,460.0
86,DOUGLAS,GRAIN,2.0
150,POLK,GRAIN,328.0
162,RUSK,GRAIN,115.0
168,SAWYER,GRAIN,23.0
184,WASHBURN,GRAIN,59.0
58,ASHLAND,GRAIN,5.0
74,CLARK,GRAIN,884.0
106,IRON,GRAIN,1.0
124,LINCOLN,GRAIN,78.0
128,MARATHON,GRAIN,725.0
140,ONEIDA,GRAIN,4.0
154,PRICE,GRAIN,23.0
174,TAYLOR,GRAIN,213.0
180,VILAS,GRAIN,1.0
92,FLORENCE,GRAIN,5.0
