subclass_name,resource,fips,county,state,usdaregion,"County Square Miles",scenario_name,prod_source,price_offered,production_total,production_unit,production_energy_content,energy_content_unit,total_prod_density_dtpersqmi
FOG,"FOG, animal fats",55009,"Brown County",WI,"Lake States",531.24,Emerging,wastes,706.03,62320.00,dt,2118880000000,BTU,117.31
FOG,"FOG, animal fats",55009,"Brown County",WI,"Lake States",531.24,"mature-market high",wastes,706.03,62320.00,dt,2118880000000,BTU,117.31
FOG,"FOG, animal fats",55009,"Brown County",WI,"Lake States",531.24,"mature-market low",wastes,685.83,62320.00,dt,2118880000000,BTU,117.31
FOG,"FOG, animal fats",55009,"Brown County",WI,"Lake States",531.24,"mature-market medium",wastes,685.83,62320.00,dt,2118880000000,BTU,117.31
FOG,"FOG, animal fats",55009,"Brown County",WI,"Lake States",531.24,near-term,wastes,685.83,61073.00,dt,2076482000000,BTU,114.96
FOG,"FOG, animal fats",55025,"Dane County",WI,"Lake States",1237.5,Emerging,wastes,706.03,5843.00,dt,198662000000,BTU,4.72
FOG,"FOG, animal fats",55025,"Dane County",WI,"Lake States",1237.5,"mature-market high",wastes,706.03,5843.00,dt,198662000000,BTU,4.72
FOG,"FOG, animal fats",55025,"Dane County",WI,"Lake States",1237.5,"mature-market low",wastes,685.83,5843.00,dt,198662000000,BTU,4.72
FOG,"FOG, animal fats",55025,"Dane County",WI,"Lake States",1237.5,"mature-market medium",wastes,685.83,5843.00,dt,198662000000,BTU,4.72
FOG,"FOG, animal fats",55025,"Dane County",WI,"Lake States",1237.5,near-term,wastes,685.83,5726.00,dt,194684000000,BTU,4.63
FOG,"FOG, animal fats",55035,"Eau Claire County",WI,"Lake States",645.2,Emerging,wastes,706.03,3859.00,dt,131206000000,BTU,5.98
FOG,"FOG, animal fats",55035,"Eau Claire County",WI,"Lake States",645.2,"mature-market high",wastes,706.03,3859.00,dt,131206000000,BTU,5.98
FOG,"FOG, animal fats",55035,"Eau Claire County",WI,"Lake States",645.2,"mature-market low",wastes,685.83,3859.00,dt,131206000000,BTU,5.98
FOG,"FOG, animal fats",55035,"Eau Claire County",WI,"Lake States",645.2,"mature-market medium",wastes,685.83,3859.00,dt,131206000000,BTU,5.98
FOG,"FOG, animal fats",55035,"Eau Claire County",WI,"Lake States",645.2,near-term,wastes,685.83,3782.00,dt,128588000000,BTU,5.86
FOG,"FOG, animal fats",55043,"Grant County",WI,"Lake States",1183.37,Emerging,wastes,706.03,3859.00,dt,131206000000,BTU,3.26
FOG,"FOG, animal fats",55043,"Grant County",WI,"Lake States",1183.37,"mature-market high",wastes,706.03,3859.00,dt,131206000000,BTU,3.26
FOG,"FOG, animal fats",55043,"Grant County",WI,"Lake States",1183.37,"mature-market low",wastes,685.83,3859.00,dt,131206000000,BTU,3.26
FOG,"FOG, animal fats",55043,"Grant County",WI,"Lake States",1183.37,"mature-market medium",wastes,685.83,3859.00,dt,131206000000,BTU,3.26
FOG,"FOG, animal fats",55043,"Grant County",WI,"Lake States",1183.37,near-term,wastes,685.83,3782.00,dt,128588000000,BTU,3.20
FOG,"FOG, animal fats",55047,"Green Lake County",WI,"Lake States",380.13,Emerging,wastes,706.03,8636.00,dt,293624000000,BTU,22.72
FOG,"FOG, animal fats",55047,"Green Lake County",WI,"Lake States",380.13,"mature-market high",wastes,706.03,8636.00,dt,293624000000,BTU,22.72
FOG,"FOG, animal fats",55047,"Green Lake County",WI,"Lake States",380.13,"mature-market low",wastes,685.83,8636.00,dt,293624000000,BTU,22.72
FOG,"FOG, animal fats",55047,"Green Lake County",WI,"Lake States",380.13,"mature-market medium",wastes,685.83,8636.00,dt,293624000000,BTU,22.72
FOG,"FOG, animal fats",55047,"Green Lake County",WI,"Lake States",380.13,near-term,wastes,685.83,8463.00,dt,287742000000,BTU,22.26
FOG,"FOG, animal fats",55123,"Vernon County",WI,"Lake States",816.38,Emerging,wastes,706.03,3859.00,dt,131206000000,BTU,4.73
FOG,"FOG, animal fats",55123,"Vernon County",WI,"Lake States",816.38,"mature-market high",wastes,706.03,3859.00,dt,131206000000,BTU,4.73
FOG,"FOG, animal fats",55123,"Vernon County",WI,"Lake States",816.38,"mature-market low",wastes,685.83,3859.00,dt,131206000000,BTU,4.73
FOG,"FOG, animal fats",55123,"Vernon County",WI,"Lake States",816.38,"mature-market medium",wastes,685.83,3859.00,dt,131206000000,BTU,4.73
FOG,"FOG, animal fats",55123,"Vernon County",WI,"Lake States",816.38,near-term,wastes,685.83,3782.00,dt,128588000000,BTU,4.63
FOG,"FOG, animal fats",55133,"Waukesha County",WI,"Lake States",580.54,Emerging,wastes,706.03,3859.00,dt,131206000000,BTU,6.65
FOG,"FOG, animal fats",55133,"Waukesha County",WI,"Lake States",580.54,"mature-market high",wastes,706.03,3859.00,dt,131206000000,BTU,6.65
FOG,"FOG, animal fats",55133,"Waukesha County",WI,"Lake States",580.54,"mature-market low",wastes,685.83,3859.00,dt,131206000000,BTU,6.65
FOG,"FOG, animal fats",55133,"Waukesha County",WI,"Lake States",580.54,"mature-market medium",wastes,685.83,3859.00,dt,131206000000,BTU,6.65
FOG,"FOG, animal fats",55133,"Waukesha County",WI,"Lake States",580.54,near-term,wastes,685.83,3782.00,dt,128588000000,BTU,6.51
FOG,"FOG, brown grease",55001,"Adams County",WI,"Lake States",687.48,Emerging,wastes,446.87,84.00,dt,2856000000,BTU,0.12
FOG,"FOG, brown grease",55001,"Adams County",WI,"Lake States",687.48,"mature-market high",wastes,446.87,84.00,dt,2856000000,BTU,0.12
FOG,"FOG, brown grease",55001,"Adams County",WI,"Lake States",687.48,"mature-market low",wastes,426.67,84.00,dt,2856000000,BTU,0.12
FOG,"FOG, brown grease",55001,"Adams County",WI,"Lake States",687.48,"mature-market medium",wastes,426.67,84.00,dt,2856000000,BTU,0.12
FOG,"FOG, brown grease",55001,"Adams County",WI,"Lake States",687.48,near-term,wastes,426.67,135.00,dt,4590000000,BTU,0.20
FOG,"FOG, brown grease",55003,"Ashland County",WI,"Lake States",1054.13,Emerging,wastes,446.87,79.00,dt,2686000000,BTU,0.07
FOG,"FOG, brown grease",55003,"Ashland County",WI,"Lake States",1054.13,"mature-market high",wastes,446.87,79.00,dt,2686000000,BTU,0.07
FOG,"FOG, brown grease",55003,"Ashland County",WI,"Lake States",1054.13,"mature-market low",wastes,426.67,79.00,dt,2686000000,BTU,0.07
FOG,"FOG, brown grease",55003,"Ashland County",WI,"Lake States",1054.13,"mature-market medium",wastes,426.67,79.00,dt,2686000000,BTU,0.07
FOG,"FOG, brown grease",55003,"Ashland County",WI,"Lake States",1054.13,near-term,wastes,426.67,104.00,dt,3536000000,BTU,0.10
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,Emerging,wastes,446.87,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,"mature-market high",wastes,446.87,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,"mature-market low",wastes,426.67,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,"mature-market medium",wastes,426.67,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,near-term,wastes,426.67,302.00,dt,10268000000,BTU,0.34
